Key,Dist Code,Year,State Code,State Name,Dist Name,RICE HARVEST PRICE (Rs per Quintal),PADDY HARVEST PRICE (Rs per Quintal),WHEAT HARVEST PRICE (Rs per Quintal),SORGHUM HARVEST PRICE (Rs per Quintal),PEARL MILLET HARVEST PRICE (Rs per Quintal),MAIZE HARVEST PRICE (Rs per Quintal),FINGER MILLET HARVEST PRICE (Rs per Quintal),BARLEY HARVEST PRICE (Rs per Quintal),CHICKPEA HARVEST PRICE (Rs per Quintal),PIGEONPEA HARVEST PRICE (Rs per Quintal),GROUNDNUT HARVEST PRICE (Rs per Quintal),SEASMUM HARVEST PRICE (Rs per Quintal),RAPE AND MUSTARD HARVEST PRICE (Rs per Quintal),CASTOR HARVEST PRICE (Rs per Quintal),LINSEED HARVEST PRICE (Rs per Quintal),SUGARCANE GUR HARVEST PRICE (Rs per Quintal),COTTON KAPAS HARVEST PRICE (Rs per Quintal)
1199014,1,1990,14,Chhattisgarh,Durg,382,230,329,-1,-1,-1,-1,-1,602,858,-1,1014,-1,-1,978,-1,-1
1199114,1,1991,14,Chhattisgarh,Durg,453,221,384,-1,-1,-1,-1,-1,641,822,-1,1750,-1,-1,1053,-1,-1
1199214,1,1992,14,Chhattisgarh,Durg,497,-1,448,-1,-1,-1,-1,-1,728,992,-1,1407,-1,-1,903,-1,-1
1199314,1,1993,14,Chhattisgarh,Durg,533,321,463,-1,-1,-1,-1,-1,986,908,-1,1325,-1,-1,1009,-1,-1
1199414,1,1994,14,Chhattisgarh,Durg,580,349,491,-1,-1,-1,575,-1,842,1268,-1,2750,-1,-1,1134,-1,-1
1199514,1,1995,14,Chhattisgarh,Durg,789,500,452,407,387,303,900,342,913,1526,1311,2963,1368,-1,1371,828,1894
1199614,1,1996,14,Chhattisgarh,Durg,837,-1,509,498,-1,463,-1,-1,1142,1329,-1,2050,-1,-1,1314,-1,-1
1199714,1,1997,14,Chhattisgarh,Durg,916,418,701,424,336,407,559,430,1147,1486,1196,2225,1050,1034,1357,1160,2123
1199814,1,1998,14,Chhattisgarh,Durg,-1,452,606,-1,-1,-1,-1,-1,1065,1296,-1,2487,-1,-1,1573,-1,-1
1199914,1,1999,14,Chhattisgarh,Durg,-1,506,776,-1,-1,-1,-1,-1,1239,1400,-1,2302,-1,-1,1419,-1,-1
1200014,1,2000,14,Chhattisgarh,Durg,-1,491,742,-1,-1,-1,1200,-1,1680,1389,-1,1690,-1,-1,1505,-1,-1
1200114,1,2001,14,Chhattisgarh,Durg,-1,507,755,-1,-1,-1,-1,-1,1401,1441,-1,-1,-1,-1,1614,-1,-1
1200214,1,2002,14,Chhattisgarh,Durg,-1,485,768,-1,-1,-1,-1,-1,1358,1317,-1,-1,-1,-1,1806,-1,-1
1200314,1,2003,14,Chhattisgarh,Durg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1200414,1,2004,14,Chhattisgarh,Durg,882,557,638,-1,-1,-1,-1,-1,1327,1529,-1,-1,-1,-1,1698,-1,-1
1200514,1,2005,14,Chhattisgarh,Durg,972,555,831,-1,-1,-1,-1,-1,1660,1712,-1,3055,-1,-1,1523,-1,-1
1200614,1,2006,14,Chhattisgarh,Durg,1046,593,1034,-1,-1,-1,-1,-1,2590,2282,-1,4647,-1,-1,1694,-1,-1
1200714,1,2007,14,Chhattisgarh,Durg,1033,697,1364,-1,-1,-1,-1,-1,2828,2508,-1,5072,-1,-1,2233,-1,-1
1200814,1,2008,14,Chhattisgarh,Durg,1421,882,1409,-1,-1,-1,-1,-1,2771,2350,-1,6650,-1,-1,3000,-1,-1
1200914,1,2009,14,Chhattisgarh,Durg,1600,927,1522,-1,-1,-1,-1,-1,2682,5085,-1,-1,-1,-1,4000,-1,-1
1201014,1,2010,14,Chhattisgarh,Durg,1825,1000,1485,-1,-1,-1,-1,-1,2604,5125,-1,8000,-1,-1,4961,-1,-1
1201114,1,2011,14,Chhattisgarh,Durg,1786,965,1356,-1,-1,-1,-1,-1,3367,4750,-1,-1,-1,-1,3883,-1,-1
1201214,1,2012,14,Chhattisgarh,Durg,-1,1256,1582,-1,-1,-1,-1,-1,3255,4581,4167,2600,-1,-1,3800,-1,-1
1201314,1,2013,14,Chhattisgarh,Durg,-1,1307,2000,-1,-1,-1,-1,-1,3000,4219,6000,-1,4000,-1,-1,-1,-1
1201414,1,2014,14,Chhattisgarh,Durg,2116,1395,1592,-1,-1,-1,-1,-1,3632,4951,5005,-1,-1,-1,-1,4009,-1
1201514,1,2015,14,Chhattisgarh,Durg,2977,1423,2327,-1,-1,-1,-1,-1,4034,6481,-1,10000,-1,-1,-1,-1,-1
1201614,1,2016,14,Chhattisgarh,Durg,3956,1509,1828,-1,-1,-1,-1,-1,4898,4572,-1,-1,-1,-1,-1,-1,-1
2199014,2,1990,14,Chhattisgarh,Bastar,374,189,342,225,-1,167,-1,-1,830,-1,-1,881,949,-1,879,639,-1
2199114,2,1991,14,Chhattisgarh,Bastar,441,235,459,333,-1,265,368,-1,1023,-1,-1,1091,1032,-1,818,685,-1
2199214,2,1992,14,Chhattisgarh,Bastar,453,273,409,460,-1,288,328,-1,911,-1,-1,1343,885,-1,503,736,-1
2199314,2,1993,14,Chhattisgarh,Bastar,519,313,476,322,-1,234,347,-1,1003,-1,-1,1164,1082,-1,742,1008,-1
