Key,Dist Code,Year,State Code,State Name,Dist Name,JANUARY ACTUAL (Millimeters),FEBRUARY ACTUAL (Millimeters),MARCH ACTUAL (Millimeters),APRIL ACTUAL (Millimeters),MAY ACTUAL (Millimeters),JUNE ACTUAL (Millimeters),JULY ACTUAL (Millimeters),AUGUST ACTUAL (Millimeters),SEPTEMBER ACTUAL (Millimeters),OCTOBER ACTUAL (Millimeters),NOVEMBER ACTUAL (Millimeters),DECEMBER ACTUAL (Millimeters)
1195814,1,1958,14,Chhattisgarh,Durg,39.81,33.58,35.32,25.41,12.38,108.4,113.93,107.43,112.77,103.98,59.69,39.09
1195914,1,1959,14,Chhattisgarh,Durg,44.33,39.74,17.59,37.66,23.66,174.99,113.04,106.29,112.63,98.1,52.13,39.38
1196014,1,1960,14,Chhattisgarh,Durg,44.14,32.28,72.23,29.58,17.11,169.81,113.3,113.01,113.6,96.19,54.09,39.94
1196114,1,1961,14,Chhattisgarh,Durg,38.51,38.18,33.91,20.39,30.75,174.1,111.19,107.96,114.05,102.45,53.19,42.69
1196214,1,1962,14,Chhattisgarh,Durg,37.73,45.88,52.07,43.81,27.7,86.88,112.45,107.46,112.05,72.95,46.4,60.18
1196314,1,1963,14,Chhattisgarh,Durg,33.72,38.01,30.87,44.62,16.9,175.38,114.06,106.32,116.86,102.41,55,40.14
1196414,1,1964,14,Chhattisgarh,Durg,38.28,39.04,23.6,15.03,8.15,154.93,113.57,105.04,110.86,88.91,54.26,37.42
1196514,1,1965,14,Chhattisgarh,Durg,38.54,26.53,40.27,22.55,12.05,168.36,114.7,108.69,112.24,76.58,47.57,35.62
1196614,1,1966,14,Chhattisgarh,Durg,37.05,18.04,23.2,22.5,53.62,119.2,116.33,108.25,114.29,78.33,55.44,45.42
1196714,1,1967,14,Chhattisgarh,Durg,31.11,19.4,135.57,21.91,11.35,173.87,113.68,107.7,112.49,74.16,46.84,69.01
1196814,1,1968,14,Chhattisgarh,Durg,39.04,47.64,81.44,46.69,9.75,139.76,114.89,110.84,111.75,77.97,47.82,36.23
1196914,1,1969,14,Chhattisgarh,Durg,31.31,22.19,17.59,11.07,38.57,92.58,112.75,108.63,111.29,73.97,50.1,41.63
1197014,1,1970,14,Chhattisgarh,Durg,34.45,27.28,71.54,16.4,25.12,157.94,113.7,105.49,111.82,72.93,44.57,30.95
1197114,1,1971,14,Chhattisgarh,Durg,32.8,30.37,39.82,23.29,47.21,163.44,115.95,107.94,112.32,107.9,53.4,41.97
1197214,1,1972,14,Chhattisgarh,Durg,36.55,40.33,18.9,16.69,11.15,115.65,116.98,110.79,111.84,77.16,48.65,38.51
1197314,1,1973,14,Chhattisgarh,Durg,31.5,30.68,14.1,13.25,5.95,95.83,115.33,107.65,113.93,113.93,56.58,42.81
1197414,1,1974,14,Chhattisgarh,Durg,38.04,41.89,23.64,12.6,18.86,155.52,115.85,108.38,102.32,114.7,57.63,40.72
1197514,1,1975,14,Chhattisgarh,Durg,40.13,53.06,54.81,15.51,15.21,172.3,112.07,108.03,109.86,113.89,55.61,39.5
1197614,1,1976,14,Chhattisgarh,Durg,39.28,40.47,37.88,28.24,24.87,91.56,111.94,106.57,112.62,73.64,50.58,33.28
1197714,1,1977,14,Chhattisgarh,Durg,27.76,18.29,20.29,16.47,24.83,172.16,114.32,107.38,111.99,84.02,57.03,39.49
1197814,1,1978,14,Chhattisgarh,Durg,37.17,50.22,66.92,34.69,12.52,170.67,111.06,105.17,111.23,77.97,51.11,44.42
1197914,1,1979,14,Chhattisgarh,Durg,42.77,60.59,16.57,11.27,20.3,170.7,115.2,109.1,113.55,82.22,53.23,36.69
1198014,1,1980,14,Chhattisgarh,Durg,33.45,23.56,17.38,16.34,7.46,166.19,113.72,107.25,112.75,74.66,48.38,40.17
1198114,1,1981,14,Chhattisgarh,Durg,35.6,20.85,55.93,17.02,25,174.89,114.58,107.98,112.86,81.27,48.72,39.31
1198214,1,1982,14,Chhattisgarh,Durg,44.56,34.62,24.3,23.64,20.24,164.42,117.62,109.54,112.58,86.84,52.25,36.64
1198314,1,1983,14,Chhattisgarh,Durg,33.2,34.54,23.79,12.11,17.93,155.42,116.35,109.38,112.13,94.41,52.24,42.07
1198414,1,1984,14,Chhattisgarh,Durg,44.72,48.29,18.39,22.97,11.89,113.18,112.13,110.28,100.03,81.03,45.18,33.84
1198514,1,1985,14,Chhattisgarh,Durg,39.81,22.38,13.8,18.31,17,175.16,112.9,108.49,112.69,114.5,57.21,44.09
1198614,1,1986,14,Chhattisgarh,Durg,46.42,55.15,32.19,19.72,22.51,171.1,114.84,107.08,114.15,77.8,49.19,44.41
1198714,1,1987,14,Chhattisgarh,Durg,36.66,31.86,37.2,11.16,24.77,113.2,117.97,110.26,118.14,88.5,54.52,38.94
1198814,1,1988,14,Chhattisgarh,Durg,32.8,27.98,28.17,31.96,18.75,167.83,112.3,107.14,112.57,81.07,48.71,35.56
1198914,1,1989,14,Chhattisgarh,Durg,31.05,24.84,90.79,9.42,20.18,164.96,112.94,107.85,111.05,75.89,47.77,40.41
1199014,1,1990,14,Chhattisgarh,Durg,31.52,52.05,65.76,10.6,60.7,161.62,113.8,106.69,112.18,104.06,59.89,46.28
1199114,1,1991,14,Chhattisgarh,Durg,43.23,38.22,39.1,28.49,16.83,167.88,115.49,108.97,114.08,80.51,50.78,37
1199214,1,1992,14,Chhattisgarh,Durg,32,24.36,12.71,10.47,18.5,85.58,116.08,107.11,111.97,81.9,50.22,33.45
1199314,1,1993,14,Chhattisgarh,Durg,31.69,29.08,78.22,16.29,28.16,150.82,116.65,111.49,114.82,99.97,54.68,39.62
1199414,1,1994,14,Chhattisgarh,Durg,41.69,44.09,14.48,21.45,24.4,171.76,113.06,107.52,113.64,105.86,57.23,39.94
1199514,1,1995,14,Chhattisgarh,Durg,52.6,37.05,118.6,20.62,21.69,122.9,117.27,112.23,115.66,98.7,58.02,40.28
1199614,1,1996,14,Chhattisgarh,Durg,39.46,25.92,25.21,33.81,6.33,110.47,116.68,108.9,115.55,91.46,53.18,38.34
1199714,1,1997,14,Chhattisgarh,Durg,37.73,27.49,22.62,24.57,18.68,71.62,117.58,110.39,112.65,89.99,57.65,58.98
1199814,1,1998,14,Chhattisgarh,Durg,39.35,50.7,64.46,29.27,24.76,119.75,115.76,109.99,113.58,102.57,60.19,37.66
1199914,1,1999,14,Chhattisgarh,Durg,34.28,42.11,16.58,9.43,34.36,136.35,118.28,108.65,114.5,101.68,54.39,38.34
1200014,1,2000,14,Chhattisgarh,Durg,36,48.2,15.59,13.33,24.84,165.1,114.02,109.76,114.49,78.62,48.35,32.48
1200114,1,2001,14,Chhattisgarh,Durg,30.49,19.57,41.45,30.77,33.77,159.59,114.43,107.52,113.43,104.81,57.95,39.33
1200214,1,2002,14,Chhattisgarh,Durg,44.79,42.76,25.22,21.88,28.83,167.98,123.14,105.91,112.25,81.47,49.45,35.53
1200314,1,2003,14,Chhattisgarh,Durg,31.54,38.41,73.42,16.02,8.54,138.99,114.47,106.6,109.28,100.17,53.02,50.23
1200414,1,2004,14,Chhattisgarh,Durg,49.19,40.54,23.66,22.93,17.8,171.73,113.2,109.61,112.69,82.64,49.21,34.92
1200514,1,2005,14,Chhattisgarh,Durg,39.72,36.34,44.76,15.48,18.98,164.91,113.39,110.11,113.38,103.97,52.33,39.91
1200614,1,2006,14,Chhattisgarh,Durg,36.23,35.39,114.58,33.5,44.34,112.84,118.27,109.31,113.39,74.7,48.84,33.44
1200714,1,2007,14,Chhattisgarh,Durg,28.29,31.79,19.27,13.78,15.01,175.25,116.69,107.66,111.59,77.85,47.02,36.27
1200814,1,2008,14,Chhattisgarh,Durg,33.74,30.73,42.71,15.89,17.95,172.25,118.28,109.58,112.68,79.91,49.35,34.11
1200914,1,2009,14,Chhattisgarh,Durg,32.09,21.29,25.34,9.43,35.99,102.56,115.59,108.96,116.93,88.49,53.19,38.09
1201014,1,2010,14,Chhattisgarh,Durg,36.4,34.8,38.98,15.84,16.5,136.37,111.68,107.58,111.41,88.22,55.82,41.43
1201114,1,2011,14,Chhattisgarh,Durg,31.92,34.4,17.7,32.37,30.78,175.8,115.62,105.63,111.5,72.92,45.98,31.91
1201214,1,2012,14,Chhattisgarh,Durg,36.86,23.86,12.96,22.53,17.38,113.73,113.55,108.08,111.89,75.64,47.43,33.37
1201314,1,2013,14,Chhattisgarh,Durg,31.4,29.07,30.82,26.43,10.28,161.09,111.14,105.81,111.71,113.95,54.94,40.48
1201414,1,2014,14,Chhattisgarh,Durg,43.94,48.66,87.06,30.52,26.95,107.06,115.49,109.01,111.06,81.06,47.61,34.03
1201514,1,2015,14,Chhattisgarh,Durg,31.21,28.68,102.45,42.77,27.27,160.21,114.2,109.31,112.99,77.14,47.67,34
2195814,2,1958,14,Chhattisgarh,Bastar,44.51,27.93,23.63,71.4,41.39,80.25,115.02,110.24,111.14,113.28,70.16,46.91
2195914,2,1959,14,Chhattisgarh,Bastar,47.64,36.55,13.41,37.55,33.33,158.65,113.89,109.58,111.29,110.75,57.28,45.57
2196014,2,1960,14,Chhattisgarh,Bastar,39.15,21.38,41.74,25.84,49.53,159.23,114,114.08,112.03,108.17,58.59,48.28
2196114,2,1961,14,Chhattisgarh,Bastar,39.45,43.92,36.39,28.9,43.95,154.84,112.25,109.86,109.7,110.47,64.7,45.97
2196214,2,1962,14,Chhattisgarh,Bastar,43.46,44.38,16.75,93.56,31.26,123.5,114.2,109.82,110.09,98.94,58.69,60.9
2196314,2,1963,14,Chhattisgarh,Bastar,42.03,27.37,22.15,115.42,33.65,146.12,114.55,109.39,113.59,113.44,59.51,45.12
2196414,2,1964,14,Chhattisgarh,Bastar,40.26,37.2,15.09,60.76,19.18,127.5,114.8,109.19,109.8,110.02,63.2,45.97
2196514,2,1965,14,Chhattisgarh,Bastar,41.79,20.77,27.95,41.33,32.01,118.58,116.37,111.45,111.7,77.78,48.6,38.62
2196614,2,1966,14,Chhattisgarh,Bastar,51.87,11.93,10.65,34.97,21.76,121.91,116.36,110.91,112.67,85.4,64.39,47.49
2196714,2,1967,14,Chhattisgarh,Bastar,34.43,15.13,97.94,40.23,8.1,160.81,115.02,110,110.87,77.84,48.19,76.62
2196814,2,1968,14,Chhattisgarh,Bastar,44.9,33.01,43.5,82.91,26.44,146.56,115.61,107.21,111.01,100.27,62.46,45.96
2196914,2,1969,14,Chhattisgarh,Bastar,37.89,20.24,18.02,24.61,75.76,139.69,113.95,110.7,109.97,97,70.12,71.52
2197014,2,1970,14,Chhattisgarh,Bastar,47.47,35.67,67.95,62.47,47.68,148.39,114.39,108.72,110.95,81.42,48.66,34.08
2197114,2,1971,14,Chhattisgarh,Bastar,28.36,27.54,19.94,97.21,77.66,150.55,115.63,110.23,110.75,100.8,53.59,41.86
2197214,2,1972,14,Chhattisgarh,Bastar,33.69,34.26,10.61,43,20.11,141.48,118.91,112.15,111.34,100.48,73.34,51.99
2197314,2,1973,14,Chhattisgarh,Bastar,41.71,22.7,29.32,26.58,20.85,163.07,116.59,110.46,112.33,112.3,59.89,45.56
2197414,2,1974,14,Chhattisgarh,Bastar,37.97,26.03,23.43,24.29,41.93,159.64,117.97,111.8,111.95,112.67,65.91,45.32
2197514,2,1975,14,Chhattisgarh,Bastar,42.07,33.46,15.21,27.86,49.11,158.99,113.4,110.38,108.48,112.85,61.15,43.47
2197614,2,1976,14,Chhattisgarh,Bastar,38.97,25.29,18.87,49.56,48.19,91.12,112.88,109.83,110.83,78.4,71.3,40.4
2197714,2,1977,14,Chhattisgarh,Bastar,28.81,14.62,9.81,82.58,61.26,152.7,114.98,109.54,110.54,89.52,83.74,50.44
2197814,2,1978,14,Chhattisgarh,Bastar,51.68,42.75,31.03,68.94,33.39,154.84,112.34,108.2,110.88,87.43,65.65,42.02
2197914,2,1979,14,Chhattisgarh,Bastar,35.03,32.66,9.81,36.79,57.11,160.49,117.98,112.09,111.46,94.93,67.03,48.02
2198014,2,1980,14,Chhattisgarh,Bastar,37.41,19.01,18.95,29.98,24.76,151.43,114.57,109.42,111.38,85.88,54.84,41.62
2198114,2,1981,14,Chhattisgarh,Bastar,41.5,14.81,44.19,52.84,41.72,159.49,115.18,110.54,111.12,86.65,52.5,40.34
2198214,2,1982,14,Chhattisgarh,Bastar,28.42,15.91,19.29,66.43,31.54,153.29,117.55,110.76,111.3,104.59,65.01,45.23
2198314,2,1983,14,Chhattisgarh,Bastar,38.14,33.83,22.46,11.86,41.38,159.97,115.89,110.58,109.77,105.34,58.17,48.25
2198414,2,1984,14,Chhattisgarh,Bastar,43.44,29.89,16.19,45.72,45,155.52,113.77,111.31,110.73,89.88,52.6,40.95
2198514,2,1985,14,Chhattisgarh,Bastar,50.19,17.61,13.75,11.18,24.16,156.36,113.09,110.42,110.64,110.59,59.92,49.31
2198614,2,1986,14,Chhattisgarh,Bastar,54.16,43.5,16.87,52.26,25.88,154.54,116.41,110.55,112.76,84.48,72.36,50.13
2198714,2,1987,14,Chhattisgarh,Bastar,38.96,20.37,35.77,50.09,47.24,113.56,116.27,111.62,109.51,96.69,63.26,43.79
2198814,2,1988,14,Chhattisgarh,Bastar,33.5,20.85,12.57,61.08,51.48,134.44,113.24,110.02,110.72,84.75,54.36,41.18
2198914,2,1989,14,Chhattisgarh,Bastar,28.36,14.87,56.96,12.59,52.44,152.59,114.13,110.25,110.7,79.45,49.57,36.32
2199014,2,1990,14,Chhattisgarh,Bastar,25.11,52.3,71.99,17.14,95.08,148.75,114.35,110.59,111.27,111.35,69.33,52.85
2199114,2,1991,14,Chhattisgarh,Bastar,50.57,28.84,24.68,34.44,48.12,152.64,115.02,110.61,112.36,101.17,76.86,47.46
2199214,2,1992,14,Chhattisgarh,Bastar,43.79,28.48,13.62,16.74,43.81,129.76,116.51,109.27,111.11,89.19,66.86,40.36
2199314,2,1993,14,Chhattisgarh,Bastar,34.07,17.64,25.17,48.66,53.07,140.03,116.31,111.72,111.32,115.4,60.67,45.92
2199414,2,1994,14,Chhattisgarh,Bastar,41.21,26.53,11.49,31.89,62.93,116.69,113.29,109.16,111.59,109.08,65.14,44.73
2199514,2,1995,14,Chhattisgarh,Bastar,61.45,28.19,63.3,31.3,71.67,139.08,115.51,113.56,113.39,117.75,66.32,47.14
2199614,2,1996,14,Chhattisgarh,Bastar,42.72,24.84,19.09,62.39,9.73,161.87,116.51,111.21,112.78,98.58,57.95,44.09
2199714,2,1997,14,Chhattisgarh,Bastar,41.27,18.96,24.73,76.88,22.16,64.34,117.78,112.01,111.44,80.07,76.92,62.55
2199814,2,1998,14,Chhattisgarh,Bastar,43.43,41.38,25.98,40.92,46.29,140.22,115.27,112.48,111.85,115.94,86.36,50.33
2199914,2,1999,14,Chhattisgarh,Bastar,46.32,37.65,17.38,10.88,63.26,155.27,116.65,108.98,110.98,100.73,55.33,40.4
2200014,2,2000,14,Chhattisgarh,Bastar,32.68,41.54,9.85,27.55,33.59,150.19,114.14,109.23,112.25,82.9,49.75,34.16
2200114,2,2001,14,Chhattisgarh,Bastar,25.16,12.36,17.49,47.73,54.9,150.54,114.12,108.82,110.19,103.34,72.19,45.14
2200214,2,2002,14,Chhattisgarh,Bastar,58.16,32.61,21.41,62.89,44.55,152.76,121.69,107.69,103.16,81.79,47.03,34.13
2200314,2,2003,14,Chhattisgarh,Bastar,23.98,20.46,47.97,18.73,9.62,65.34,114.19,110.86,110.8,111.27,57.64,68.53
2200414,2,2004,14,Chhattisgarh,Bastar,62.57,45.43,23.83,40.18,34.98,155.08,115.11,110.36,110.64,107.89,57.34,43.28
2200514,2,2005,14,Chhattisgarh,Bastar,48.59,36.62,22.6,28.3,49.45,134.17,114.37,110.3,110.63,112.31,56.49,43.85
2200614,2,2006,14,Chhattisgarh,Bastar,39.38,24.67,57.08,101.06,58.58,103.14,117.06,110.46,109.89,80.03,76.57,41.67
2200714,2,2007,14,Chhattisgarh,Bastar,34.52,26.67,10.76,18.02,28.31,154.87,116.1,110.58,109.61,100.79,55.2,46.19
2200814,2,2008,14,Chhattisgarh,Bastar,40.91,35.16,25.51,22.73,27.1,150.95,115.75,109.57,109.05,75.43,49.88,34.15
2200914,2,2009,14,Chhattisgarh,Bastar,22.05,11.84,17.87,10.46,78.82,81.86,112.46,111.52,114.07,88.7,57.12,39.46
2201014,2,2010,14,Chhattisgarh,Bastar,41.58,21.47,26.94,62.08,49.82,157.95,111.57,111.01,109.1,110.74,80.58,56.52
2201114,2,2011,14,Chhattisgarh,Bastar,45.95,45.18,19.31,62.41,86.3,89.13,114.85,108.79,108.56,73.08,45.71,32.16
2201214,2,2012,14,Chhattisgarh,Bastar,38.27,11.9,8.12,86.3,46.03,119.69,112.71,109.41,109.62,87.09,59.96,40.63
2201314,2,2013,14,Chhattisgarh,Bastar,32.94,21.88,10.4,85.47,27.15,148,111.61,111.69,111.27,112.51,59.54,44.1
2201414,2,2014,14,Chhattisgarh,Bastar,43.24,24.74,49.63,48.97,54.13,112.45,118.33,111.63,110.45,98.91,55.19,40.7
2201514,2,2015,14,Chhattisgarh,Bastar,33.71,21.19,57.46,75.81,46.89,147.25,118.48,112.5,111.79,78.1,48.95,35.54
3195814,3,1958,14,Chhattisgarh,Raipur,41.23,38.52,41.17,24.53,12.76,110.78,113.39,107.5,111.6,102.46,60.07,40.59
3195914,3,1959,14,Chhattisgarh,Raipur,43.81,42.54,22.42,31.93,20.67,173.65,112.8,105.73,111.3,97.34,52.39,40.73
3196014,3,1960,14,Chhattisgarh,Raipur,42.72,36.35,74.89,26.59,16.05,174.67,112.5,110.86,112.07,95.31,54.4,41.15
3196114,3,1961,14,Chhattisgarh,Raipur,39.57,42.66,42.99,20.28,24.91,175.21,111.06,107.44,112.67,101.02,53.64,43.72
3196214,3,1962,14,Chhattisgarh,Raipur,39.18,47.66,55.87,37.78,22.76,99.93,112.32,107.27,110.81,72.65,48.01,58.65
3196314,3,1963,14,Chhattisgarh,Raipur,35.36,40.29,36.67,37.35,15.65,174.7,113.31,106.02,111.89,102.22,55.62,41.16
3196414,3,1964,14,Chhattisgarh,Raipur,40.35,44.9,29.37,17.39,9.27,161.5,112.61,104.64,109.55,88.9,54.49,39.36
3196514,3,1965,14,Chhattisgarh,Raipur,39.06,32.44,45.74,20.75,11.65,171.2,114.85,108.78,110.8,76.29,48.69,36.85
3196614,3,1966,14,Chhattisgarh,Raipur,37.65,24.74,25.16,20.33,37.51,132.13,115.71,107.99,113.22,77.95,56.44,45.95
3196714,3,1967,14,Chhattisgarh,Raipur,33.15,26.17,139.62,22.3,11.9,173.79,113.42,107.49,111.43,74.17,48.11,67.39
3196814,3,1968,14,Chhattisgarh,Raipur,39.63,48.85,86.1,40.17,10.8,146.02,114.24,111.15,110.89,78.27,48.86,37.8
3196914,3,1969,14,Chhattisgarh,Raipur,33.56,28.63,21.61,12.66,29.81,97.57,112.16,109.14,110.17,74.06,51.1,44.25
3197014,3,1970,14,Chhattisgarh,Raipur,35.42,33.66,78.19,17.26,20.04,158.23,113.8,105.34,110.44,72.7,46,32.84
3197114,3,1971,14,Chhattisgarh,Raipur,33.88,34.79,42.25,22.04,36.09,162.67,115.38,107.75,111.19,103.43,52.84,41.76
3197214,3,1972,14,Chhattisgarh,Raipur,37.17,42.3,24.84,18.3,11.42,121.71,117.07,111,111.39,78.61,50.68,40.17
3197314,3,1973,14,Chhattisgarh,Raipur,34.42,36.84,18.87,14.11,7.1,111.46,115.16,107.6,112.57,113.05,56.36,43.49
3197414,3,1974,14,Chhattisgarh,Raipur,39.76,44.15,30.93,15.25,18.17,166.93,115.29,108.29,101.54,113.91,57.91,41.89
3197514,3,1975,14,Chhattisgarh,Raipur,41.41,53.32,62.27,18.16,15.47,171.37,111.74,107.85,108.71,112.43,55.63,40.84
3197614,3,1976,14,Chhattisgarh,Raipur,40.24,42.21,44.59,27.61,22.13,97.19,111.97,106.76,111.94,73.44,51.52,35.52
3197714,3,1977,14,Chhattisgarh,Raipur,30.25,24.64,23.1,17.81,21.88,172.35,113.77,107.62,110.77,83.38,57.92,41.16
3197814,3,1978,14,Chhattisgarh,Raipur,37.68,51.02,70.72,31.98,13.2,171.08,110.62,104.89,110.73,77.64,52.55,44.23
3197914,3,1979,14,Chhattisgarh,Raipur,40.52,58.51,21.34,13.79,16.98,171.77,115.4,109.6,112.83,82.62,54.01,38.3
3198014,3,1980,14,Chhattisgarh,Raipur,35.02,29.56,22,16.21,8.42,165.78,113.5,107.41,111.5,74.59,49.6,40.59
3198114,3,1981,14,Chhattisgarh,Raipur,35.77,26.79,60.36,16.5,20.56,173.21,114.16,107.98,111.92,80.27,49.37,39.97
3198214,3,1982,14,Chhattisgarh,Raipur,41.13,36.93,32.28,22.19,16.7,166.89,117.79,109.44,111.74,86.36,53.02,38.52
3198314,3,1983,14,Chhattisgarh,Raipur,35.03,39.46,29.39,14.08,16.61,167.46,115.64,109.27,110.93,93.46,52.78,42.8
3198414,3,1984,14,Chhattisgarh,Raipur,43.12,48.46,23.66,22.87,12.42,128.44,111.8,110.35,100.75,80.51,46.6,35.97
3198514,3,1985,14,Chhattisgarh,Raipur,38.53,28.7,17.31,15.72,14.02,174.55,112.47,108.57,111.55,113.72,57.24,44.9
3198614,3,1986,14,Chhattisgarh,Raipur,45.51,54.16,37.33,22.2,19.94,171.14,114.72,107.54,113.68,78.34,50.7,45.24
3198714,3,1987,14,Chhattisgarh,Raipur,36.78,35.36,40.48,13.43,19.85,104.42,117.71,110.28,116.83,86.89,54.7,39.58
3198814,3,1988,14,Chhattisgarh,Raipur,34.8,34.02,36.91,26.73,17.52,169.42,111.68,107.08,111.63,80.44,49.48,37.27
3198914,3,1989,14,Chhattisgarh,Raipur,32.91,30.27,83.86,11.32,20.11,170.51,112.74,107.69,110,76.13,48.9,41.79
3199014,3,1990,14,Chhattisgarh,Raipur,33.67,54.03,79.01,14.34,41.72,161.59,113.41,106.6,111.26,100.81,58.82,45.83
3199114,3,1991,14,Chhattisgarh,Raipur,43.52,39.81,49.71,24.84,15.93,168.02,115.12,109.15,112.93,80.85,51.96,39.73
3199214,3,1992,14,Chhattisgarh,Raipur,34.18,32.56,17.53,12.51,17.88,96.34,115.8,106.89,110.89,81.7,51.09,35.09
3199314,3,1993,14,Chhattisgarh,Raipur,33.59,33,70.99,18.2,22.13,155.9,116.13,111.31,113.16,97.08,54.46,40.13
3199414,3,1994,14,Chhattisgarh,Raipur,41.22,43.95,19.08,19.93,19.96,174.98,112.4,107.28,112.88,101.14,55.92,40.31
3199514,3,1995,14,Chhattisgarh,Raipur,48.6,39.11,110.24,19.38,19.65,121.63,116.81,112.57,114.03,98.9,58.77,41.78
3199614,3,1996,14,Chhattisgarh,Raipur,41.25,33.22,26.76,26.09,7.71,142.4,116.87,109.1,114.34,88.33,52.99,39.02
3199714,3,1997,14,Chhattisgarh,Raipur,37.64,31.5,29.78,23.61,16.68,78.21,117.43,110.29,111.86,85.75,56.98,57.01
3199814,3,1998,14,Chhattisgarh,Raipur,38.94,50.11,66.94,27.37,22.03,131.11,115.2,109.69,112.32,103.12,60.75,39.2
3199914,3,1999,14,Chhattisgarh,Raipur,36.55,42.96,23.32,12.46,27.39,156.47,118.02,108.17,112.87,96.58,53.58,38.77
3200014,3,2000,14,Chhattisgarh,Raipur,36.66,47.92,20.42,15.3,19.51,162.85,114,109.39,113.17,77.84,49.1,33.9
3200114,3,2001,14,Chhattisgarh,Raipur,31.62,25.88,48.6,25.09,25.11,158.87,114.09,107.41,112.31,100.02,57.17,39.38
3200214,3,2002,14,Chhattisgarh,Raipur,43.29,41.93,31,21.26,22.79,167.05,122.07,106.16,111.12,80.69,49.5,36.96
3200314,3,2003,14,Chhattisgarh,Raipur,33.23,42.12,77.94,15.73,8.79,138.31,113.17,106.46,108.23,104.05,54.17,52.82
3200414,3,2004,14,Chhattisgarh,Raipur,47,42.83,32.89,25.27,15.64,170.64,111.97,109.75,111.48,83.05,49.79,36.45
3200514,3,2005,14,Chhattisgarh,Raipur,39.16,40.13,49.63,16.45,18.01,163.03,112.98,110.28,112.15,101.31,51.91,40.55
3200614,3,2006,14,Chhattisgarh,Raipur,37.57,38.18,110.02,33.39,34.77,126.39,118.56,109.1,111.96,73.57,49.74,34.86
3200714,3,2007,14,Chhattisgarh,Raipur,30.47,40.59,25.08,13.8,14.51,174.48,116.22,107.88,109.88,78.07,47.87,37.57
3200814,3,2008,14,Chhattisgarh,Raipur,35.65,36.06,45.4,17.18,17.65,170.44,117.91,108.97,111.34,77.54,49.21,35.23
3200914,3,2009,14,Chhattisgarh,Raipur,33.43,27.15,27.73,10.49,27.74,95.2,115.54,108.8,115.19,85.12,52.56,38.54
3201014,3,2010,14,Chhattisgarh,Raipur,35.95,36.68,41.11,16.85,17.58,144.97,111.36,107.32,110.58,88.29,56.36,44.34
3201114,3,2011,14,Chhattisgarh,Raipur,34.06,39.05,23.56,26.86,26.93,174.4,115.08,105.71,110.46,73.13,46.83,33.8
3201214,3,2012,14,Chhattisgarh,Raipur,37.01,29.55,16.78,23.04,15.05,122.7,113.87,108.35,110.75,75.68,48.28,34.74
3201314,3,2013,14,Chhattisgarh,Raipur,32.45,33.32,32.79,24.94,11.24,160.18,110.92,106.39,111.41,112.93,54.88,41.01
3201414,3,2014,14,Chhattisgarh,Raipur,41.63,49.55,90.12,32.07,27.31,116.01,114.52,108.75,110.27,82.17,48.76,35.55
3201514,3,2015,14,Chhattisgarh,Raipur,31.98,33.56,100.75,37.12,23.08,161.98,113.91,109.05,111.76,76.69,48.55,36.27
5195814,5,1958,14,Chhattisgarh,Raigarh,36.54,32.17,40.21,22.5,45.46,118.52,108.83,105.71,109.04,108.27,65.71,42.54
