Key,Dist Code,Year,State Code,State Name,Dist Name,JANUARY WATER DEFICIT (Millimeters),FEBRUARY WATER DEFICIT (Millimeters),MARCH WATER DEFICIT (Millimeters),APRIL WATER DEFICIT (Millimeters),MAY WATER DEFICIT (Millimeters),JUNE WATER DEFICIT (Millimeters),JULY WATER DEFICIT (Millimeters),AUGUST WATER DEFICIT (Millimeters),OCTOBER WATER DEFICIT (Millimeters),NOVEMBER WATER DEFICIT (Millimeters),DECEMBER WATER DEFICIT (Millimeters)
1195814,1,1958,14,Chhattisgarh,Durg,53,79.49,127.4,179.91,225.23,81.6,0,0,0,12.9,37.33
1195914,1,1959,14,Chhattisgarh,Durg,47.5,74.17,148.94,154.32,221.55,0,0,0,0,18.76,37.46
1196014,1,1960,14,Chhattisgarh,Durg,44.28,76.74,87.86,163.94,210.16,6.76,0,0,0,17.66,38.36
1196114,1,1961,14,Chhattisgarh,Durg,53.56,69.16,134.79,169.13,202.76,1.52,0,0,0,11.91,34.73
1196214,1,1962,14,Chhattisgarh,Durg,46.73,60.9,106.65,144.93,198.25,87.34,0,0,0,39.94,41.96
1196314,1,1963,14,Chhattisgarh,Durg,52.23,69.82,130.94,142.62,214.85,0,0,0,0,14.48,37.62
1196414,1,1964,14,Chhattisgarh,Durg,0,10.91,9.3,6.29,2.07,159.36,282.89,490.97,231.82,43.23,0.37
1196514,1,1965,14,Chhattisgarh,Durg,8.38,3.84,29.32,15.38,6.83,174.3,280.3,166.4,278.58,6.79,0
1196614,1,1966,14,Chhattisgarh,Durg,11.17,0,13.37,16.36,51.19,121.51,452.65,253.67,245.37,8.45,5.61
1196714,1,1967,14,Chhattisgarh,Durg,0.62,0,138.8,12.83,5.07,206.98,464.88,256.95,134.29,6.68,0
1196814,1,1968,14,Chhattisgarh,Durg,9.28,22.99,67.55,38.44,3.12,142.2,404.21,181.39,419.42,18.61,0.36
1196914,1,1969,14,Chhattisgarh,Durg,55.34,88.68,142.89,183.13,172.62,78.2,0,0,0,38.54,45.43
1197014,1,1970,14,Chhattisgarh,Durg,52.04,82.18,87.41,173.85,194.36,0,0,0,0,40.42,41.95
1197114,1,1971,14,Chhattisgarh,Durg,52.61,75.04,109.52,164.96,155.55,0,0,0,0,6.03,33.19
1197214,1,1972,14,Chhattisgarh,Durg,46.5,65.16,136.91,169.36,216.82,58.41,0,0,0.7,35.54,40.23
1197314,1,1973,14,Chhattisgarh,Durg,59.03,81.26,145.1,184.48,226.14,84.47,0,0,0,0,32.93
