Key,Dist Code,Year,State Code,State Name,Dist Name,JANUARY MINIMUM (Centigrate),FEBRUARY MINIMUM (Centigrate),MARCH MINIMUM (Centigrate),APRIL MINIMUM (Centigrate),MAY MINIMUM (Centigrate),JUNE MINIMUM (Centigrate),JULY MINIMUM (Centigrate),AUGUST MINIMUM (Centigrate),SEPTEMBER MINIMUM (Centigrate),OCTOBER MINIMUM (Centigrate),NOVEMBER MINIMUM (Centigrate),DECEMBER MINIMUM (Centigrate)
1195814,1,1958,14,Chhattisgarh,Durg,13.95,16.42,19.93,25.04,29.12,28.46,23.77,24.25,23.22,20.72,16.04,12.86
1195914,1,1959,14,Chhattisgarh,Durg,13.63,15.8,20.42,24.47,28.84,26.68,23.65,23.49,23.32,21.41,15.01,12.64
1196014,1,1960,14,Chhattisgarh,Durg,12.77,15.76,19.31,23.81,28.6,26.82,24.07,24.01,23.97,20.34,14.42,12.78
1196114,1,1961,14,Chhattisgarh,Durg,13.78,14.66,21.32,24.54,28.36,25.62,23.33,23.82,22.82,20.04,14.22,10.84
1196214,1,1962,14,Chhattisgarh,Durg,11.15,14.97,18.98,23.61,28.01,26.66,24.01,23.67,23.02,20.04,14.58,12.41
1196314,1,1963,14,Chhattisgarh,Durg,11.49,15.37,19.2,22.55,27.54,25.55,23.72,23.63,24.22,21.21,16.28,12.91
1196414,1,1964,14,Chhattisgarh,Durg,13.57,16.55,21.03,25.59,28.66,26.34,23.66,23.39,23.36,21.39,14.82,12.43
1196514,1,1965,14,Chhattisgarh,Durg,13.48,15.67,19.36,23.5,28.62,27.16,24.21,24.56,23.49,21.46,15.67,14.08
1196614,1,1966,14,Chhattisgarh,Durg,13.46,16.87,19.97,24.56,28.39,26.92,25.43,24.33,23.96,21.62,17.01,12.43
1196714,1,1967,14,Chhattisgarh,Durg,13.65,16.65,19.2,23.62,28.81,27.11,24.33,23.6,23.46,20.93,15.07,14.11
1196814,1,1968,14,Chhattisgarh,Durg,12.54,15.48,19.44,22.86,27.62,26.57,24.3,23.98,23.93,20.54,15.72,13.05
1196914,1,1969,14,Chhattisgarh,Durg,13.08,17.1,21.72,24.94,27.49,26.85,23.76,23.64,23.19,21.08,16.74,12.65
1197014,1,1970,14,Chhattisgarh,Durg,13.78,16.73,20.56,25.04,28.73,24.56,24.03,23.61,23.54,21.22,14.5,11.47
1197114,1,1971,14,Chhattisgarh,Durg,13.35,16.11,18.81,24.07,26.66,23.95,23.68,24.03,23.59,20.77,14.06,11.58
1197214,1,1972,14,Chhattisgarh,Durg,12.3,15.29,20.32,24.26,28.72,28.15,24.6,24.03,23.68,20.68,15.32,14.4
1197314,1,1973,14,Chhattisgarh,Durg,14.24,17.25,20.81,26.52,30.22,27.23,23.95,23.92,23.74,21.04,14.92,12.54
1197414,1,1974,14,Chhattisgarh,Durg,12.25,15.64,21.31,25.95,28.11,26.71,24.64,23.85,24.5,21.2,14.71,11.88
1197514,1,1975,14,Chhattisgarh,Durg,12.08,16.01,20.32,25.29,29.92,25.94,23.6,24.03,23.13,21.67,14.07,11.18
1197614,1,1976,14,Chhattisgarh,Durg,12.12,15.95,20.67,23.84,28.09,26.19,23.59,23.69,23.07,21.25,17.43,13.45
1197714,1,1977,14,Chhattisgarh,Durg,12.82,16.18,21.51,24.45,27.16,26.52,24.1,23.76,23.25,20.87,17.48,12.69
1197814,1,1978,14,Chhattisgarh,Durg,12.44,15.36,19.18,24.33,29.42,26.47,23.52,23.19,23.73,21.34,16.96,12.59
1197914,1,1979,14,Chhattisgarh,Durg,13.9,15.49,19.44,24.71,26.89,26.85,24.73,24.16,24.31,21.77,17.52,13.63
1198014,1,1980,14,Chhattisgarh,Durg,14.17,17.01,21.03,25.87,29.49,25.4,23.85,23.63,23.87,21.48,16.13,13.22
1198114,1,1981,14,Chhattisgarh,Durg,12.72,16.77,19.91,25.33,28.34,27.35,23.98,23.82,23.82,20.75,14.43,12.76
1198214,1,1982,14,Chhattisgarh,Durg,14.24,16.43,19.92,24.29,26.93,26.61,25.26,23.74,23.51,20.87,15.75,13.44
1198314,1,1983,14,Chhattisgarh,Durg,12.95,16.47,20.77,24.14,27.85,27.8,24.77,24.45,23.59,20.28,14.02,12.26
