Key,Dist Code,Year,State Code,State Name,Dist Name,JANUARY POTENTIAL (Millimeters),FEBRUARY POTENTIAL (Millimeters),MARCH POTENTIAL (Millimeters),APRIL POTENTIAL (Millimeters),MAY POTENTIAL (Millimeters),JUNE POTENTIAL (Millimeters),JULY POTENTIAL (Millimeters),AUGUST POTENTIAL (Millimeters),SEPTEMBER POTENTIAL (Millimeters),OCTOBER POTENTIAL (Millimeters),NOVEMBER POTENTIAL (Millimeters),DECEMBER POTENTIAL (Millimeters)
1195814,1,1958,14,Chhattisgarh,Durg,92.82,113.08,162.72,205.32,237.62,190,113.93,107.43,112.77,116.88,97.02,78.36
1195914,1,1959,14,Chhattisgarh,Durg,91.83,113.92,166.52,191.97,245.21,174.99,113.04,106.29,112.63,116.85,89.59,80.04
1196014,1,1960,14,Chhattisgarh,Durg,88.43,109.02,160.09,193.52,227.27,176.57,113.3,113.01,113.6,113.85,92.45,82.26
1196114,1,1961,14,Chhattisgarh,Durg,92.07,107.33,168.69,189.52,233.51,175.62,111.19,107.96,114.05,114.36,87.93,77.16
1196214,1,1962,14,Chhattisgarh,Durg,84.46,106.79,158.71,188.75,225.95,174.22,112.45,107.46,112.05,112.88,88.36,78.47
1196314,1,1963,14,Chhattisgarh,Durg,85.95,107.84,161.81,187.24,231.75,175.38,114.06,106.32,116.86,116.89,92.62,81.16
1196414,1,1964,14,Chhattisgarh,Durg,93.99,112.42,167.32,202.88,237.78,178.87,113.57,105.04,110.86,116.76,97.51,83.43
1196514,1,1965,14,Chhattisgarh,Durg,92.8,114.48,164.43,187.25,235.83,188.17,114.7,108.69,112.24,117.4,92.58,86.1
1196614,1,1966,14,Chhattisgarh,Durg,92.25,114.69,169.96,200.35,252.08,181.83,116.34,108.25,114.29,119.25,102.94,83.1
1196714,1,1967,14,Chhattisgarh,Durg,89.76,108.19,150.74,185.48,234.63,173.87,113.68,107.7,112.51,113.63,90.4,83.4
1196814,1,1968,14,Chhattisgarh,Durg,85.34,103.04,158.66,180.93,224.25,172.96,114.89,110.84,111.75,113.06,89.53,79.07
1196914,1,1969,14,Chhattisgarh,Durg,86.64,110.86,160.49,194.2,211.19,170.76,112.75,108.63,111.29,112.52,95.53,78.2
1197014,1,1970,14,Chhattisgarh,Durg,86.49,109.46,158.95,190.26,219.48,157.94,113.7,105.49,111.82,113.36,86.53,73.48
1197114,1,1971,14,Chhattisgarh,Durg,85.42,105.42,149.35,188.26,202.76,163.44,115.95,107.94,112.32,113.93,86.57,79.77
1197214,1,1972,14,Chhattisgarh,Durg,83.05,105.49,155.81,186.05,227.97,174.08,116.98,110.79,112.55,112.7,88.88,86.52
1197314,1,1973,14,Chhattisgarh,Durg,90.53,111.93,159.2,197.73,232.09,180.31,115.33,107.65,113.93,113.93,89.52,79.29
1197414,1,1974,14,Chhattisgarh,Durg,83.77,107.59,161.9,190.23,228.59,170.75,115.85,108.38,113.13,114.7,90.04,75.28
1197514,1,1975,14,Chhattisgarh,Durg,83.25,105.95,155,204.55,237.43,172.3,112.07,108.03,109.86,114.29,88.06,73.16
1197614,1,1976,14,Chhattisgarh,Durg,81.99,107.17,161.07,187.14,226.81,178.61,111.94,106.57,112.62,116.25,95.96,79.91
1197714,1,1977,14,Chhattisgarh,Durg,84.69,106.57,161.58,191.69,211.81,172.16,114.32,107.38,111.99,113.58,97.17,76.41
1197814,1,1978,14,Chhattisgarh,Durg,82.74,101.72,151.18,177.79,233.01,171.14,111.06,105.17,112.16,115.17,94.33,77.89
1197914,1,1979,14,Chhattisgarh,Durg,88.73,106.17,161.84,191.16,212.12,170.7,115.21,109.1,113.55,116.64,97.55,79.23
1198014,1,1980,14,Chhattisgarh,Durg,88.86,107.59,161.4,196.24,241.77,166.19,113.72,107.25,112.75,115.63,94.24,81.01
1198114,1,1981,14,Chhattisgarh,Durg,87.15,107.19,159.3,195.3,215.12,174.89,114.58,107.98,112.86,114.44,90.42,80.8
1198214,1,1982,14,Chhattisgarh,Durg,89.01,106.83,154.87,189.68,212.6,176.34,117.62,109.54,112.58,115.2,93.5,80.91
1198314,1,1983,14,Chhattisgarh,Durg,88.31,109.53,169.66,199.1,220.37,174.95,116.35,109.38,112.13,115.98,91,81.17
1198414,1,1984,14,Chhattisgarh,Durg,88.17,107.16,156.09,194.19,232.21,173.4,112.13,110.28,112.7,114.12,88.32,81.43
1198514,1,1985,14,Chhattisgarh,Durg,88.54,105.57,164.5,192.82,229.09,175.2,112.9,108.49,112.68,114.9,90.6,81.23
1198614,1,1986,14,Chhattisgarh,Durg,87.68,107.88,161.23,201.53,216.31,171.23,114.84,107.08,114.15,114.66,90.82,77.81
1198714,1,1987,14,Chhattisgarh,Durg,85.99,104.03,155.85,198.39,213.33,174.74,117.97,110.26,118.14,115.12,94.67,79.97
1198814,1,1988,14,Chhattisgarh,Durg,86.09,107.59,163.03,189.2,221.96,171.96,112.3,107.15,112.57,112.66,88.57,76.53
