Key,Dist Code,Year,State Code,State Name,Dist Name,RICE IRRIGATED AREA (1000 ha),WHEAT IRRIGATED AREA (1000 ha),KHARIF SORGHUM IRRIGATED AREA (1000 ha),RABI SORGHUM IRRIGATED AREA (1000 ha),SORGHUM IRRIGATED AREA (1000 ha),PEARL MILLET IRRIGATED AREA (1000 ha),MAIZE IRRIGATED AREA (1000 ha),FINGER MILLET IRRIGATED AREA (1000 ha),BARLEY IRRIGATED AREA (1000 ha),CHICKPEA IRRIGATED AREA (1000 ha),PIGEONPEA IRRIGATED AREA (1000 ha),MINOR PULSES IRRIGATED AREA (1000 ha),PULSES IRRIGATED AREA (1000 ha),GROUNDNUT IRRIGATED AREA (1000 ha),SESAMUM IRRIGATED AREA (1000 ha),LINSEED IRRIGATED AREA (1000 ha),SUGARCANE IRRIGATED AREA (1000 ha),COTTON IRRIGATED AREA (1000 ha),FRUITS AND VEGETABLES IRRIGATED AREA (1000 ha),FODDER IRRIGATED AREA (1000 ha)
1199014,1,1990,14,Chhattisgarh,Durg,162.05,4.19,0.02,0.02,0.04,0,0.02,0,0,0.35,0,0.25,0.6,-1,-1,0,0.08,0,4.4,-1
1199114,1,1991,14,Chhattisgarh,Durg,193.24,5.21,0.01,0.01,0.02,0,0.01,0,0,0.69,0,0.15,0.84,0.02,0.02,0,0.11,0,4.87,-1
1199214,1,1992,14,Chhattisgarh,Durg,201.7,4.99,0.02,0.01,0.03,0,0.01,0,0,0.53,0,0.27,0.8,0.03,0.03,0,0.11,0.01,5.4,-1
1199314,1,1993,14,Chhattisgarh,Durg,209.68,5.69,0.04,0.02,0,0,0,0,0.01,0.67,0.1,0.03,0.8,0.01,0,0,0.09,0.03,5.9,-1
1199414,1,1994,14,Chhattisgarh,Durg,218.97,5.9,0.02,0.01,0.03,0,0.03,0,0,0.88,0,0.17,1.05,0,0,0,0.09,0.02,5.91,-1
1199514,1,1995,14,Chhattisgarh,Durg,220.15,5.97,0,0.02,0.02,0,0.03,0,0.01,0.89,0,0.14,1.04,0,0,0,0.09,0.03,6.46,0.116
1199614,1,1996,14,Chhattisgarh,Durg,215.46,6.07,0,0.02,0.02,0,0.02,0,0,0.96,0,0.15,1.11,0,0,0,0.11,0.03,6.86,0.044
1199714,1,1997,14,Chhattisgarh,Durg,219.1,5.47,0,0.02,0.02,0,0.01,0,0,0.76,0,0.06,0.81,0,0,0,0.1,0,6.73,0.013
1199814,1,1998,14,Chhattisgarh,Durg,179.18,5.18,0.02,0,0.02,0,0.02,0,0,0.65,0,0.07,0.71,0,0.01,0,0.12,0,8.3,0.079
1199914,1,1999,14,Chhattisgarh,Durg,225.93,5.47,0.01,0,0.01,0,0.05,0,0.01,0.94,0,0.08,1.01,0,0.01,0,0.17,0,8.47,0.122
1200014,1,2000,14,Chhattisgarh,Durg,158.4,8.25,0.03,0.01,0.03,0.01,0.07,0,0,1.95,0.01,0.16,2.12,0.02,0,0,0.16,0,8.83,0.079
1200114,1,2001,14,Chhattisgarh,Durg,219.77,9.73,0.04,0.01,0.05,0.01,0.06,0,0.01,4.13,0,0.25,4.38,0,0.01,0,0.26,0,9.99,0.073
1200214,1,2002,14,Chhattisgarh,Durg,176.18,9.74,0.05,0,0.05,0,0.06,0,0,7.49,0.01,0.37,7.87,0,0.03,0,0.5,0.01,10,0.081
1200314,1,2003,14,Chhattisgarh,Durg,182.83,10.13,0.02,0,0.02,0,0.06,0,0,9.96,0,0.33,10.29,0,0.01,0,0.86,0.04,10.23,0.075
1200414,1,2004,14,Chhattisgarh,Durg,217.57,10.17,0.01,0.02,0.03,0,0.08,0,0,16.8,0,0.27,17.07,0,0.01,0.01,1.25,0.33,11.16,0.103
1200514,1,2005,14,Chhattisgarh,Durg,224.85,10.27,0.02,0,0.02,0,0.14,0,0,21.66,0,0.29,21.95,0,0.01,0,2.29,0.17,11.5,0.062
1200614,1,2006,14,Chhattisgarh,Durg,236.91,10.43,0.01,0,0.01,0,0.12,0,0.04,25.26,0.02,0.25,25.53,0,0.01,0.01,3.98,0.06,10.94,0.065
1200714,1,2007,14,Chhattisgarh,Durg,244.65,12.58,0,0,0,0,0.11,0,0.03,33.17,0,0.28,33.46,0,0.01,0.01,4.1,0.02,12.14,0.102
1200814,1,2008,14,Chhattisgarh,Durg,228.93,13.4,0,0,0,0,0.09,0,0.03,41.05,0.01,0.37,41.42,0,0.01,0.01,3.1,-1,13.39,0.07
1200914,1,2009,14,Chhattisgarh,Durg,201.18,16.65,0,0,0,0,0.16,0,0.04,42.48,0.02,0.43,42.92,0,0.02,0.02,2.95,0,15.03,0.054
1201014,1,2010,14,Chhattisgarh,Durg,232.6,18.69,0,0,0,0,0.18,0,0,46.27,0.02,-1,-1,0.01,0.01,0.01,2.45,0,15.45,0.109
1201114,1,2011,14,Chhattisgarh,Durg,85.39,5.33,0,0,0,0,0.12,0,0.01,7.55,0,0.16,7.71,0,0.01,0,0.41,0.03,9.32,0.172
1201214,1,2012,14,Chhattisgarh,Durg,87.2,5.12,0,0.01,0.01,0,0.1,0,0.1,7.84,0,0.14,7.97,0,0,0,3.38,0.05,9.24,0.227
1201314,1,2013,14,Chhattisgarh,Durg,88.91,4.85,0,0,0,0,0.16,0,0.01,8.41,0,0.16,8.57,0,0.01,0,0.41,0.03,9.51,0.569
1201414,1,2014,14,Chhattisgarh,Durg,88.9,5,0,0,0,0,0.46,0,0,8.57,0,0.22,8.79,0,0.02,0,0.46,0.03,9.85,0.069
1201514,1,2015,14,Chhattisgarh,Durg,86.62,5.1,0,0.01,0.01,0,0.14,0,0,7.96,0,0.14,8.1,0,0.01,0,0.43,0.01,9.65,0.169
1201614,1,2016,14,Chhattisgarh,Durg,92.02,6.1,0.01,0,0.02,-1,0.18,-1,-1,7.55,0.01,0.24,7.8,-1,0.01,-1,0.41,0.02,9.88,0.026
2199014,2,1990,14,Chhattisgarh,Bastar,18.06,0.68,0,0,0,0,0.05,0,0,0.04,0,0.06,0.1,-1,-1,0,0.17,0,2,-1
2199114,2,1991,14,Chhattisgarh,Bastar,20.28,1.03,0,0,0,0,0.11,0,0,0.03,0,0.13,0.16,0,0,0,0.2,0,2.29,-1
2199214,2,1992,14,Chhattisgarh,Bastar,20.85,0.81,0,0,0,0,0.08,0,0,0.13,0,0.07,0.2,0,0,0.02,0.22,0,2.4,-1
2199314,2,1993,14,Chhattisgarh,Bastar,21.09,0.95,0,0.01,0.01,0,0.02,0,0,0.08,0,0.12,0.2,0,0,0.01,0.19,0,2.6,-1
2199414,2,1994,14,Chhattisgarh,Bastar,20.59,0.85,0,0,0,0,0.12,0,0,0.1,0,0.07,0.17,0.01,0,0.02,0.22,0,3.03,-1
2199514,2,1995,14,Chhattisgarh,Bastar,19.82,0.96,0,0,0,0,0.22,0,0,0.08,0,0.09,0.17,0.01,0,0.02,0.24,0,2.85,0
2199614,2,1996,14,Chhattisgarh,Bastar,20.15,0.83,0.01,0.01,0.02,0,0.3,0,0,0.08,0,0.11,0.19,0.01,0,0.02,0.23,0,2.87,0
2199714,2,1997,14,Chhattisgarh,Bastar,19.48,0.96,0,0,0,0,0.44,0,0,0.04,0,0.1,0.14,0.01,0,0.03,0.22,0,3.06,0
2199814,2,1998,14,Chhattisgarh,Bastar,2.78,0.56,0,0,0,0,0.03,0,0,0.07,0,0.09,0.16,0,0,0.03,0.26,0,1.74,0
2199914,2,1999,14,Chhattisgarh,Bastar,2.16,0.58,0,0,0,0,0.04,0,0,0.04,0,0.08,0.12,0,0,0.01,0.32,0,1.71,0.003
