Key,State  code,State name,District code,District name, Year , Units: in 000 rupees Total  agricultural credit, Units: in 000 rupees Agricultural credit direct, Units: in 000 rupees Agricultural credit indirect, Units: in 000 rupees  Total  credit,,
4420021,1,Andhra Pradesh,44,Srikakulam,2002,1354714,1263633,91081,5179831,,
4420031,1,Andhra Pradesh,44,Srikakulam,2003,1727591,1598279,129312,6432269,,
4420041,1,Andhra Pradesh,44,Srikakulam,2004,1881482,1758446,123036,5949559,,
4420051,1,Andhra Pradesh,44,Srikakulam,2005,3116395,2997080,119315,8164020,,
4420061,1,Andhra Pradesh,44,Srikakulam,2006,2748886,2564753,184133,8898073,,
4420071,1,Andhra Pradesh,44,Srikakulam,2007,5082421,4839553,242868,13349604,,
4420081,1,Andhra Pradesh,44,Srikakulam,2008,6163007,5934329,228678,16601781,,
4420091,1,Andhra Pradesh,44,Srikakulam,2009,6084627,5739034,345593,18623780,,
4420101,1,Andhra Pradesh,44,Srikakulam,2010,8064219,7393871,670348,22746596,,
4420111,1,Andhra Pradesh,44,Srikakulam,2011,10054661,9443572,611089,27615649,,
4420121,1,Andhra Pradesh,44,Srikakulam,2012,12562172,11793101,769071,31776093,,
4420131,1,Andhra Pradesh,44,Srikakulam,2013,15992083,15292956,699127,37151138,,
4420141,1,Andhra Pradesh,44,Srikakulam,2014,22935339,21757848,1177491,41777028,,
4420151,1,Andhra Pradesh,44,Srikakulam,2015,24181325,23165404,1015921,45840540,,
4520021,1,Andhra Pradesh,45,Visakhapatnam,2002,2733940,1893713,840227,30944944,,
4520031,1,Andhra Pradesh,45,Visakhapatnam,2003,2695911,2421666,274245,36560144,,
4520041,1,Andhra Pradesh,45,Visakhapatnam,2004,3794100,3423600,370500,39060344,,
4520051,1,Andhra Pradesh,45,Visakhapatnam,2005,4384371,3780888,603483,50661236,,
4520061,1,Andhra Pradesh,45,Visakhapatnam,2006,6002959,3929097,2073862,63784160,,
4520071,1,Andhra Pradesh,45,Visakhapatnam,2007,6011110,4565472,1445638,70315960,,
4520081,1,Andhra Pradesh,45,Visakhapatnam,2008,8299948,6251081,2048867,166765488,,
4520091,1,Andhra Pradesh,45,Visakhapatnam,2009,10210049,7788571,2421478,116048088,,
4520101,1,Andhra Pradesh,45,Visakhapatnam,2010,12948049,10428881,2519168,130885488,,
4520111,1,Andhra Pradesh,45,Visakhapatnam,2011,15604656,13020753,2583903,159666716,,
4520121,1,Andhra Pradesh,45,Visakhapatnam,2012,20646115,17494767,3151348,195253847,,
4520131,1,Andhra Pradesh,45,Visakhapatnam,2013,25062414,21842526,3219888,234491515,,
4520141,1,Andhra Pradesh,45,Visakhapatnam,2014,35284991,29512630,5772361,252402070,,
4520151,1,Andhra Pradesh,45,Visakhapatnam,2015,35147277,30949427,4197850,293512627,,
4620021,1,Andhra Pradesh,46,East Godavari,2002,5008398,3875177,1133221,24783740,,
4620031,1,Andhra Pradesh,46,East Godavari,2003,5201283,4719578,481705,27030592,,
4620041,1,Andhra Pradesh,46,East Godavari,2004,6008509,5593501,415008,31827814,,
4620051,1,Andhra Pradesh,46,East Godavari,2005,8073849,7418121,655728,49418496,,
4620061,1,Andhra Pradesh,46,East Godavari,2006,10610962,9548268,1062694,59372688,,
4620071,1,Andhra Pradesh,46,East Godavari,2007,13425566,12195437,1230129,67827760,,
4620081,1,Andhra Pradesh,46,East Godavari,2008,18415488,16550148,1865341,103305272,,
4620091,1,Andhra Pradesh,46,East Godavari,2009,25784840,22232000,3552838,103267432,,
4620101,1,Andhra Pradesh,46,East Godavari,2010,31411040,27061588,4349453,116588624,,
4620111,1,Andhra Pradesh,46,East Godavari,2011,42298929,38148665,4150264,131715987,,
4620121,1,Andhra Pradesh,46,East Godavari,2012,54036652,48087663,5948989,154538785,,
4620131,1,Andhra Pradesh,46,East Godavari,2013,69482364,63438097,6044267,176907888,,
4620141,1,Andhra Pradesh,46,East Godavari,2014,81475737,74403872,7071865,190366536,,
4620151,1,Andhra Pradesh,46,East Godavari,2015,86379185,78980086,7399099,214372959,,
4720021,1,Andhra Pradesh,47,West Godavari,2002,6497007,5826398,670609,16043200,,
4720031,1,Andhra Pradesh,47,West Godavari,2003,7177682,6783299,394383,17828156,,
4720041,1,Andhra Pradesh,47,West Godavari,2004,8305981,7878504,427477,23310754,,
4720051,1,Andhra Pradesh,47,West Godavari,2005,10806307,10273489,532818,31256676,,
4720061,1,Andhra Pradesh,47,West Godavari,2006,13877940,13444695,433245,37141884,,
4720071,1,Andhra Pradesh,47,West Godavari,2007,18799316,18318632,480684,43571612,,
4720081,1,Andhra Pradesh,47,West Godavari,2008,24432808,23465100,967710,52937760,,
4720091,1,Andhra Pradesh,47,West Godavari,2009,31159592,29213684,1945909,75764336,,
4720101,1,Andhra Pradesh,47,West Godavari,2010,40071600,37185792,2885808,89104032,,
4720111,1,Andhra Pradesh,47,West Godavari,2011,52577510,49338693,3238817,109314865,,
4720121,1,Andhra Pradesh,47,West Godavari,2012,67577109,63582219,3994890,129167018,,
4720131,1,Andhra Pradesh,47,West Godavari,2013,84614165,80993328,3620837,152772478,,
4720141,1,Andhra Pradesh,47,West Godavari,2014,97926768,92465498,5461270,167746468,,
4720151,1,Andhra Pradesh,47,West Godavari,2015,99578658,94288750,5289908,180294605,,
4820021,1,Andhra Pradesh,48,Krishna,2002,4188667,3650422,538245,20259220,,
4820031,1,Andhra Pradesh,48,Krishna,2003,5336741,4890508,446233,25618320,,
4820041,1,Andhra Pradesh,48,Krishna,2004,7248386,6245782,1002604,31000988,,
4820051,1,Andhra Pradesh,48,Krishna,2005,7934084,7126343,807741,41639700,,
4820061,1,Andhra Pradesh,48,Krishna,2006,9366635,8480944,885691,57703468,,
4820071,1,Andhra Pradesh,48,Krishna,2007,12693269,11322065,1371204,64439664,,
4820081,1,Andhra Pradesh,48,Krishna,2008,17376880,15610941,1765940,74428528,,
4820091,1,Andhra Pradesh,48,Krishna,2009,22923244,20935250,1987995,102065400,,
4820101,1,Andhra Pradesh,48,Krishna,2010,29109084,25818208,3290876,113586144,,
4820111,1,Andhra Pradesh,48,Krishna,2011,36935809,34066838,2868971,138826326,,
4820121,1,Andhra Pradesh,48,Krishna,2012,50110047,46025925,4084122,171620921,,
4820131,1,Andhra Pradesh,48,Krishna,2013,66268325,62172606,4095719,210286951,,
4820141,1,Andhra Pradesh,48,Krishna,2014,77260034,71042716,6217318,249237936,,
4820151,1,Andhra Pradesh,48,Krishna,2015,76338532,70630702,5707830,260401919,,
4920021,1,Andhra Pradesh,49,Guntur,2002,6902590,4919321,1983269,23605464,,
4920031,1,Andhra Pradesh,49,Guntur,2003,7519452,6147133,1372319,28908052,,
4920041,1,Andhra Pradesh,49,Guntur,2004,9048541,7716419,1332122,33050596,,
4920051,1,Andhra Pradesh,49,Guntur,2005,12450543,11112586,1337957,44019820,,
4920061,1,Andhra Pradesh,49,Guntur,2006,15048011,13693575,1354436,51552508,,
4920071,1,Andhra Pradesh,49,Guntur,2007,18443688,17493730,949958,59529660,,
4920081,1,Andhra Pradesh,49,Guntur,2008,25440816,24101480,1339337,68873960,,
4920091,1,Andhra Pradesh,49,Guntur,2009,30453900,27605050,2848849,99687136,,
4920101,1,Andhra Pradesh,49,Guntur,2010,38341888,33031152,5310737,117354192,,
4920111,1,Andhra Pradesh,49,Guntur,2011,53595204,46816248,6778956,155784797,,
4920121,1,Andhra Pradesh,49,Guntur,2012,71921685,62514025,9407660,185573324,,
4920131,1,Andhra Pradesh,49,Guntur,2013,93439109,82484720,10954389,225401087,,
4920141,1,Andhra Pradesh,49,Guntur,2014,106967926,95082048,11885878,260431331,,
4920151,1,Andhra Pradesh,49,Guntur,2015,96637961,87340810,9297151,267698012,,
5020021,1,Andhra Pradesh,50,Nellore,2002,4647884,4257709,390175,13721234,,
5020031,1,Andhra Pradesh,50,Nellore,2003,4853289,4560728,292561,16307347,,
5020041,1,Andhra Pradesh,50,Nellore,2004,5249048,4917216,331832,19422212,,
5020051,1,Andhra Pradesh,50,Nellore,2005,7160150,6698790,461360,22509142,,
5020061,1,Andhra Pradesh,50,Nellore,2006,8027511,7623404,404107,27288020,,
5020071,1,Andhra Pradesh,50,Nellore,2007,10996971,10598080,398891,32121226,,
5020081,1,Andhra Pradesh,50,Nellore,2008,12941700,12546235,395465,38920608,,
5020091,1,Andhra Pradesh,50,Nellore,2009,16326263,15737954,588309,51695832,,
5020101,1,Andhra Pradesh,50,Nellore,2010,20073830,18229312,1844517,62145648,,
5020111,1,Andhra Pradesh,50,Nellore,2011,26455440,24562331,1893109,73629725,,
5020121,1,Andhra Pradesh,50,Nellore,2012,30624445,27974344,2650101,86411069,,
5020131,1,Andhra Pradesh,50,Nellore,2013,44061530,41296500,2765030,110003827,,
5020141,1,Andhra Pradesh,50,Nellore,2014,53650980,49242055,4408925,126230826,,
5020151,1,Andhra Pradesh,50,Nellore,2015,54448273,48210573,6237700,141824449,,
5120021,1,Andhra Pradesh,51,Kurnool,2002,2580235,2283134,297101,9568256,,
5120031,1,Andhra Pradesh,51,Kurnool,2003,3599595,3343281,256314,10840924,,
5120041,1,Andhra Pradesh,51,Kurnool,2004,4093396,3812391,281005,12664745,,
5120051,1,Andhra Pradesh,51,Kurnool,2005,6888537,6493418,395119,19818802,,
5120061,1,Andhra Pradesh,51,Kurnool,2006,8035688,7726441,309247,23867610,,
5120071,1,Andhra Pradesh,51,Kurnool,2007,10545567,9446422,1099145,25128062,,
5120081,1,Andhra Pradesh,51,Kurnool,2008,13541673,11999711,1541962,30560012,,
5120091,1,Andhra Pradesh,51,Kurnool,2009,17482652,15355704,2126947,41720136,,
5120101,1,Andhra Pradesh,51,Kurnool,2010,20931640,17360968,3570673,50105556,,
5120111,1,Andhra Pradesh,51,Kurnool,2011,26092257,21249123,4843134,60209323,,
5120121,1,Andhra Pradesh,51,Kurnool,2012,31045093,28149056,2896037,72668046,,
5120131,1,Andhra Pradesh,51,Kurnool,2013,38035172,34822105,3213067,84583813,,
5120141,1,Andhra Pradesh,51,Kurnool,2014,45378705,40528102,4850603,96801813,,
5120151,1,Andhra Pradesh,51,Kurnool,2015,48203617,44404746,3798871,104803961,,
5220021,1,Andhra Pradesh,52,Anantapur,2002,3829279,3541925,287354,9142471,,
5220031,1,Andhra Pradesh,52,Anantapur,2003,4383125,4206790,176335,11162470,,
5220041,1,Andhra Pradesh,52,Anantapur,2004,5358969,5201276,157693,14899572,,
5220051,1,Andhra Pradesh,52,Anantapur,2005,8017528,7891032,126496,23264752,,
5220061,1,Andhra Pradesh,52,Anantapur,2006,9391469,9184074,207395,28147716,,
5220071,1,Andhra Pradesh,52,Anantapur,2007,11823272,11458196,365076,25592790,,
5220081,1,Andhra Pradesh,52,Anantapur,2008,15449380,15127952,321428,31964774,,
5220091,1,Andhra Pradesh,52,Anantapur,2009,18719358,18295544,423815,37316256,,
5220101,1,Andhra Pradesh,52,Anantapur,2010,22228536,20981968,1246569,45067816,,
5220111,1,Andhra Pradesh,52,Anantapur,2011,31663400,30429576,1233824,76327839,,
5220121,1,Andhra Pradesh,52,Anantapur,2012,47678189,37884386,9793803,82540262,,
5220131,1,Andhra Pradesh,52,Anantapur,2013,50022455,48630401,1392054,89992649,,
5220141,1,Andhra Pradesh,52,Anantapur,2014,61301911,58279428,3022483,103903210,,
5220151,1,Andhra Pradesh,52,Anantapur,2015,59411897,57054806,2357091,110237361,,
5320021,1,Andhra Pradesh,53,Cuddapah,2002,2674939,2579401,95538,7373276,,
5320031,1,Andhra Pradesh,53,Cuddapah,2003,2745875,2622896,122979,8440837,,
5320041,1,Andhra Pradesh,53,Cuddapah,2004,3166561,3064926,101635,9382818,,
5320051,1,Andhra Pradesh,53,Cuddapah,2005,5116600,4979243,137357,14941269,,
5320061,1,Andhra Pradesh,53,Cuddapah,2006,6245952,6064976,180976,18572576,,
5320071,1,Andhra Pradesh,53,Cuddapah,2007,8194352,7992051,202301,19285652,,
5320081,1,Andhra Pradesh,53,Cuddapah,2008,10003089,9766708,236381,23132136,,
5320091,1,Andhra Pradesh,53,Cuddapah,2009,11550119,11236006,314113,33331266,,
5320101,1,Andhra Pradesh,53,Cuddapah,2010,14721441,13793395,928046,39095376,,
5320111,1,Andhra Pradesh,53,Cuddapah,2011,19515168,18414885,1100283,47356553,,
5320121,1,Andhra Pradesh,53,Cuddapah,2012,26337037,24684531,1652506,65292194,,
5320131,1,Andhra Pradesh,53,Cuddapah,2013,36251168,34695822,1555346,84086937,,
5320141,1,Andhra Pradesh,53,Cuddapah,2014,53037792,42049732,10988060,92868285,,
5320151,1,Andhra Pradesh,53,Cuddapah,2015,44067471,41697857,2369614,98650943,,
5420021,1,Andhra Pradesh,54,Chittoor,2002,3301346,3067477,233869,12251180,,
5420031,1,Andhra Pradesh,54,Chittoor,2003,3607673,3456369,151304,13831063,,
5420041,1,Andhra Pradesh,54,Chittoor,2004,4753205,4591831,161374,16783380,,
5420051,1,Andhra Pradesh,54,Chittoor,2005,7014308,6851509,162799,22702644,,
5420061,1,Andhra Pradesh,54,Chittoor,2006,8398417,8159676,238741,25751840,,
5420071,1,Andhra Pradesh,54,Chittoor,2007,10384860,9408413,976447,31405628,,
5420081,1,Andhra Pradesh,54,Chittoor,2008,14525904,14036273,489631,36730576,,
5420091,1,Andhra Pradesh,54,Chittoor,2009,15757366,14764662,992704,59862656,,
5420101,1,Andhra Pradesh,54,Chittoor,2010,23304422,19842498,3461924,69795688,,
5420111,1,Andhra Pradesh,54,Chittoor,2011,29335372,27338725,1996647,84159706,,
5420121,1,Andhra Pradesh,54,Chittoor,2012,39894244,37880226,2014018,100447367,,
5420131,1,Andhra Pradesh,54,Chittoor,2013,56750016,54255705,2494311,121228062,,
5420141,1,Andhra Pradesh,54,Chittoor,2014,65378527,61442444,3936083,142477412,,
5420151,1,Andhra Pradesh,54,Chittoor,2015,65973418,62442267,3531151,149250939,,
5520021,1,Andhra Pradesh,55,Hyderabad,2002,7042506,1947815,5094691,154757408,,
5520031,1,Andhra Pradesh,55,Hyderabad,2003,7931108,2640771,5290337,184158416,,
