Key,State code,State name,District code,District name, Year, Purpose,Co-operative Number,Co-operative Capacity Mton,Public Number,Public Capacity Mton,Private Number,Private Capacity Mton,Total Number,Total Capacity Mton,
4420091,1,Andhra Pradesh,44,Srikakulam,2009,Multipurpose,.,.,.,.,1,4000,1,4000,
4520091,1,Andhra Pradesh,45,Visakhapatnam,2009,Fish,.,.,1,169,22,7637,23,7806,
4520091,1,Andhra Pradesh,45,Visakhapatnam,2009,Fruits & Veg,.,.,1,90,.,.,1,90,
4520091,1,Andhra Pradesh,45,Visakhapatnam,2009,Milk Products,1,48,.,.,.,.,1,48,
4520091,1,Andhra Pradesh,45,Visakhapatnam,2009,Multipurpose,.,.,.,.,7,27849,7,27849,
4620091,1,Andhra Pradesh,46,East Godavari,2009,Fish,.,.,1,271,4,1936,5,2207,
4620091,1,Andhra Pradesh,46,East Godavari,2009,Milk Products,1,88,.,.,1,2205,2,2293,
4620091,1,Andhra Pradesh,46,East Godavari,2009,Multipurpose,.,.,.,.,10,21950,10,21950,
4720091,1,Andhra Pradesh,47,West Godavari,2009,Fish,.,.,.,.,5,2067,5,2067,
4720091,1,Andhra Pradesh,47,West Godavari,2009,Multipurpose,.,.,.,.,5,8225,5,8225,
4820091,1,Andhra Pradesh,48,Krishna,2009,Multipurpose,.,.,.,.,5,21227,5,21227,
4820091,1,Andhra Pradesh,48,Krishna,2009,Fish,.,.,.,.,2,415,2,415,
4820091,1,Andhra Pradesh,48,Krishna,2009,Fruits & Veg,.,.,.,.,1,1054,1,1054,
4820091,1,Andhra Pradesh,48,Krishna,2009,Ice-Creams,.,.,.,.,1,4257,1,4257,
4820091,1,Andhra Pradesh,48,Krishna,2009,Milk Products,1,15,.,.,.,.,1,15,
4820091,1,Andhra Pradesh,48,Krishna,2009,Multipurpose,.,.,.,.,7,19841,7,19841,
4920091,1,Andhra Pradesh,49,Guntur,2009,Multipurpose,.,.,.,.,3,25849,3,25849,
4920091,1,Andhra Pradesh,49,Guntur,2009,Fish,.,.,1,335,.,.,1,335,
4920091,1,Andhra Pradesh,49,Guntur,2009,Fruits & Veg,1,4680,.,.,.,.,1,4680,
4920091,1,Andhra Pradesh,49,Guntur,2009,Ice-Creams,.,.,.,.,2,2154,2,2154,
4920091,1,Andhra Pradesh,49,Guntur,2009,Milk Products,1,113,.,.,.,.,1,113,
4920091,1,Andhra Pradesh,49,Guntur,2009,Multipurpose,.,.,.,.,62,258109,62,258109,
5020091,1,Andhra Pradesh,50,Nellore,2009,Fish,.,.,.,.,4,11936,4,11936,
5020091,1,Andhra Pradesh,50,Nellore,2009,Multipurpose,.,.,.,.,6,12506,6,12506,
5120091,1,Andhra Pradesh,51,Kurnool,2009,Milk Products,2,1097,.,.,.,.,2,1097,
5120091,1,Andhra Pradesh,51,Kurnool,2009,Multipurpose,.,.,.,.,2,7200,2,7200,
5220091,1,Andhra Pradesh,52,Anantapur,2009,Multipurpose,.,.,.,.,8,21043,8,21043,
5320091,1,Andhra Pradesh,53,Cuddappah,2009,Milk Products,1,136,.,.,.,.,1,136,
5420091,1,Andhra Pradesh,54,Chittoor,2009,Fruits & Veg,.,.,.,.,2,558,2,558,
5420091,1,Andhra Pradesh,54,Chittoor,2009,Milk Products,.,.,2,1654,.,.,2,1654,
5420091,1,Andhra Pradesh,54,Chittoor,2009,Multipurpose,.,.,.,.,7,17145,7,17145,
