Key, State Code, State, District code, District, Year,Mango Area (000Ha),Mango Production (000Tonnes),Orange  Area (000Ha),Orange Production (000Tonnes),Sweet Orange Area (000Ha),Sweet Orange Production (000Tonnes), Mandarin Orange Area (000Ha), Mandarin Orange Production (000Tonnes),Orange(Santra) Area (000Ha),Orange(Santra) Production (000Tonnes),Malta Area (000Ha),Malta Production (000Tonnes),Mausmi Area (000Ha),Mausmi #N/A,Banana Area (000Ha),Banana Production (000Tonnes),Grapes Area (000Ha),Grapes Production (000Tonnes),Guava Area (000Ha),Guava Production (000Tonnes),Papaya Area (000Ha),Papaya Production (000Tonnes),Water Melon Area (000Ha),Water Melon Production (000Tonnes),Litchi Area (000Ha),Litchi Production (000Tonnes),Custard Apple Area (000Ha),Custard Apple Production (000Tonnes),Aonla Area (000Ha),Aonla Production (000Tonnes), Amla Area (000Ha), Amla Production (000Tonnes),Ber Area (000Ha),Ber Production (000Tonnes),Jack fruit Area (000Ha),Jack fruit Production (000Tonnes),Sapota  Area (000Ha),Sapota Production (000Tonnes),Pomegranate Area (000Ha),Pomegranate Production (000Tonnes),Pine Apple Area (000Ha),Pine Apple Production (000Tonnes),Lemon Area (000Ha),Lemon Production (000Tonnes),K.Lime Area (000Ha),K.Lime Production (000Tonnes),Galgal Area (000Ha),Galgal Production (000Tonnes), Limes-Lemons #N/A, Lime-Lemon  #N/A,Musk Melon Area (000Ha),Musk Melon Production (000Tonnes),Pear Area (000Ha),Pear Production (000Tonnes),Date palm Area (000Ha),Date palm Production (000Tonnes),Peach Area (000Ha),Peach Production (000Tonnes),Plum Area (000Ha),Plum Production (000Tonnes),Jamun Area (000Ha),Jamun Production (000Tonnes),Bael Area (000Ha),Bael Production (000Tonnes),Strawberry Area (000Ha),Strawberry Production (000Tonnes), Apple Area (000Ha), Apple Production (000Tonnes), Apricot Area (000Ha), Apricot Production (000Tonnes), Cherry Area (000Ha), Cherry Production (000Tonnes),G?Almond Area (000Ha),G?Almond Production (000Tonnes),Almond Area (000Ha),Almond Production (000Tonnes),Persimon Area (000Ha),Persimon Production (000Tonnes),Olive Area (000Ha),Olive Production (000Tonnes),Kiwi Area (000Ha),Kiwi Production (000Tonnes),Walnut Area (000Ha),Walnut Production (000Tonnes),Picanut Area (000Ha),Picanut Production (000Tonnes),Loquat Area (000Ha),Loquat Production (000Tonnes),Fig Area (000Ha),Fig Production (000Tonnes), Kinnow  #N/A, Kinnow  #N/A,Phalsa Area (000Ha),Phalsa #N/A,Mulberry Area (000Ha),Mulberry #N/A,Dragon Fruit Area (000Ha),Dragon Fruit Production (000Tonnes),Citrus Area (000Ha),Citrus Production (000Tonnes),Other citrus Area (000Ha),Other citrus Production (000Tonnes),Arecanut Area (000Ha),Arecanut Production (000Tonnes),Cashew Nut Area (000Ha),Cashew Nut Production (000Tonnes),Coconut Area (000Ha),Coconut Production (000Tonnes),Other Fruits Area (000Ha),Other Fruits Production (000Tonnes),Total Fruits  Area (000Ha),Total Fruits  Production (000Tonnes),
4420071,1,Andhra Pradesh,44,Srikakulam,2007,13.34,114.72,0.00,0.00,.,.,.,.,.,.,.,.,.,.,2.23,77.98,.,.,0.06,0.89,0.02,1.92,.,.,.,.,0.01,0.06,.,.,.,.,.,.,.,.,0.03,0.33,0.00,0.00,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,1.10,10.97,16.79,206.86,
4420081,1,Andhra Pradesh,44,Srikakulam,2008,14.45,124.26,0.00,0.00,.,.,.,.,.,.,.,.,.,.,2.23,77.98,0.00,0.00,0.06,0.89,0.02,1.92,.,.,.,.,0.01,0.06,.,.,.,.,.,.,.,.,0.03,0.33,0.00,0.00,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,1.10,10.97,17.90,216.41,
4420091,1,Andhra Pradesh,44,Srikakulam,2009,12.23,105.14,0.00,0.00,.,.,.,.,.,.,.,.,.,.,2.00,70.00,0.00,0.00,0.00,0.00,0.20,16.00,.,.,.,.,0.01,0.06,.,.,.,.,.,.,.,.,0.03,0.33,0.00,0.00,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,1.10,10.97,15.57,202.50,
4420101,1,Andhra Pradesh,44,Srikakulam,2010,7.64,61.09,0.12,1.68,.,.,.,.,.,.,.,.,.,.,2.25,78.65,0.00,0.00,0.06,0.93,0.14,11.36,.,.,.,.,0.07,0.43,.,.,.,.,.,.,.,.,0.03,0.31,0.00,0.00,.,.,0.00,0.07,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,0.73,7.35,11.05,161.87,
4420111,1,Andhra Pradesh,44,Srikakulam,2011,7.98,63.84,0.13,1.75,.,.,.,.,.,.,.,.,.,.,2.35,82.23,0.00,0.00,0.06,0.97,0.15,11.87,.,.,.,.,0.07,0.45,.,.,.,.,.,.,.,.,0.03,0.33,0.00,0.00,.,.,0.01,0.08,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,0.73,7.35,11.52,168.86,
4420121,1,Andhra Pradesh,44,Srikakulam,2012,9.31,83.81,0.30,4.09,.,.,.,.,.,.,.,.,.,.,2.53,88.38,0.00,0.00,0.09,1.31,0.20,16.00,.,.,.,.,0.08,0.48,.,.,.,.,.,.,.,.,0.03,0.33,0.00,0.00,.,.,0.00,0.07,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,1.10,10.97,13.64,205.43,
4420131,1,Andhra Pradesh,44,Srikakulam,2013,9.46,85.10,0.34,4.54,.,.,.,.,.,.,.,.,.,.,3.36,117.52,0.00,0.00,0.11,1.70,0.22,17.76,.,.,.,.,0.09,0.53,.,.,.,.,.,.,.,.,0.07,0.69,0.00,0.00,.,.,0.01,0.08,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,1.22,12.18,14.87,240.10,
4420141,1,Andhra Pradesh,44,Srikakulam,2014,9.38,84.42,0.32,4.85,.,.,.,.,.,.,.,.,.,.,2.59,64.85,.,.,0.14,1.64,0.09,5.70,.,.,.,.,0.06,0.33,.,.,.,.,.,.,0.04,0.42,0.05,0.68,.,.,2.15,27.96,0.03,0.30,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14.84,191.14,
4420151,1,Andhra Pradesh,44,Srikakulam,2015,10.20,122.34,0.33,5.25,.,.,.,.,.,.,.,.,.,.,2.87,80.36,0.00,0.00,0.14,1.95,0.25,17.27,0.06,1.65,.,.,0.06,0.46,.,.,0.00,0.00,0.00,0.00,0.04,0.52,0.06,0.77,0.00,0.00,3.14,47.10,0.03,0.38,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,17.16,278.05,
4420161,1,Andhra Pradesh,44,Srikakulam,2016,10.22,122.58,0.33,6.56,.,.,.,.,.,.,.,.,.,.,2.87,152.11,.,.,0.15,4.96,0.30,29.80,0.06,1.71,.,.,0.06,0.46,.,.,.,.,.,.,0.04,1.26,0.06,0.72,.,.,3.14,47.10,0.03,0.46,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,17.23,367.72,
