DIST,YEAR,FEMALE_age_ 6YRS_ATTEND_SCHOOL,CHILDREN_below_5YRS_birth REGISTERED,HOUSEHOLD_USING_IODIZED_SALT,HOUSEHOLD_COVERED_ANY_HEALTH_SCHEME,WOMEN_10YRS_OR_MORE_SCHOOLING,MOTHER_ANTENATAL_CHECKUP,PREGNANT_TIME_CONSUMED_FOLIC_ACID,MOTHER_ANTENATAL_FULLCARE,CHILDREN_UNDER_5_YRS_STUNTED,CHILDREN_UNDER_5_YRS_WASTING,CHILDREN_UNDER_5_YRS_SEVERELY_WASTING,CHILDREN_UNDER_5_YRS_UNDER_WEIGHT,WOMEN_BMI_BELOW_NORMAL,MEN_BMI_BELOW_NORMAL,WOMEN_BMI_OVERWEIGHT,MEN_BMI_OVERWEIGHT,CHILDREN_ANAEMIC_6_59_MONTHS,WOMEN_ANAEMIC_15_49_YEARS,WOMEN_HIGH_BLOOD_SUGAR,MEN_HIGH_BLOOD_SUGAR,WOMEN_MODERATELY_HYPERTENSION,MEN_MODERATELY_HYPERTENSION
656,2015,95.4,96.3,96.6,63.9,70.5,94.8,82.5,82.5,15.6,19.9,9.2,18.9,16.5,7.6,23.1,9.3,40.6,38.9,9.5,17.4,0.4,1.5
513,2015,74.8,95.2,55.6,58.5,37.7,41.2,39.4,21.5,30.3,10.5,2.2,19.6,22.2,22.8,30.3,20.4,58.1,59.7,6,5.8,0.3,0
117,2015,86.6,98,98.1,11.1,50.9,62.8,40.6,31.7,31.8,28.3,8.1,40.1,25.6,22.7,26.8,16.1,53.1,42,4.1,7.3,2.4,1.3
661,2015,93.5,100,99.2,55.6,61.9,91.5,42.8,41.3,14.5,14.8,5.3,23.3,7.7,6.6,37.6,23,16.7,21.6,5.5,5.5,0.5,1.1
2020,2015,68.4,100,88.5,71,39,86.1,64.5,46.8,28.6,27.8,9.1,31.9,14.4,8.4,27.8,32.4,53.8,57.2,5.4,6,1,2.4
103,2015,86.8,93.1,98.8,26.6,60.3,88.9,53,48.5,22.3,26.7,9.7,23.6,14.7,9,35.1,41.9,53.1,50.4,4.6,5.2,1.3,6.9
1025,2015,66.3,100,49.2,53.4,43,52.5,66.8,27.6,28.3,18.4,7.4,27.7,16.7,6.5,26,21.3,52.8,50.8,10.2,1.6,2.1,4.6
660,2015,96.1,96.6,99,48.8,77.1,94.9,68.1,51.8,21,15.4,8.5,16.9,8.2,7.4,24.5,28.4,39.9,38.8,2.8,1.9,0,0
652,2015,94.4,98.6,98.6,47.4,76.8,97.1,72.6,71.1,15.9,17.1,7.2,15.9,9.3,3.1,33.4,34.4,-45.4,38.5,12.2,24.6,1.2,3.4
653,2015,98.4,95.4,95.6,43.8,79.6,85.2,64.8,64.8,14.9,10.1,3.8,10.6,8.1,11,35.3,41.3,32.6,31.9,10.1,13,1.4,4.2
651,2015,96.9,93.6,98.6,55.1,75.3,95.7,52.5,42.3,16.4,19.7,3.9,20.6,12.5,12.9,36.8,26.8,29.2,29.1,8.3,13.6,1.1,1.4
659,2015,97.3,100,99.2,50.4,77.7,90.3,50.8,45.1,22.2,16.8,4,16.3,6.5,11.3,34.4,20.2,20.6,22.1,8.9,12.5,2.3,0
49,2015,51.4,87.2,79.5,81.8,22.3,80.1,41.2,37,23.4,19.5,10.4,33.7,12.6,17.4,38.8,32.8,78.9,60.5,7.7,19.6,1.5,4.3
526,2015,66.8,93.9,97.2,15.2,44.2,59.3,22.6,7.3,28.3,17.4,6.9,21.5,22.6,17.6,19.8,16.1,81,65.8,5.9,13.7,0.9,4.7
107,2015,72.7,96.2,93.1,8.4,38.4,63.4,45.2,36.9,30.6,27.8,6.1,32.7,26.7,27.6,24.7,23.1,45,47,6.4,3.5,3.6,3.7
523,2015,72.5,100,95.2,7,39.3,92.9,65.2,56.3,27.4,21.7,9.5,30,19.3,9,17.9,19.2,53.2,56.3,4.9,7.6,0.9,0
53,2015,49.7,68.2,64.1,80.8,32.3,87.9,57.3,52.7,37.4,18,3.9,34.8,22,8.8,19.6,32,57.7,59.2,7.3,19,0.7,2.4
137,2015,85.7,99,97.4,13.9,45.3,72.2,42.2,39.1,24.8,25,8.1,32.5,14.9,20,39.8,26.8,40.3,34,5.8,13,1,1
188,2015,76.3,93.4,91.8,19.7,43.8,49.5,20.4,11.2,28,19.5,8.9,20.9,13.2,10.8,25,19.4,75.3,52.7,6.3,8.5,2.2,2
228,2015,56.8,66.6,89.2,2.9,16.4,22.5,4.9,0.4,57.4,15.7,6.3,50.9,38.4,44.9,7.2,4.9,53.3,39.6,4.2,2.4,0.7,0
1008,2015,71,99.2,90.5,10.7,51.9,59.4,30.2,10.1,19,12,5.6,17,12.2,11,23.5,18.1,69.8,58.8,6,5.4,1.2,3.7
717,2015,76.3,82.4,99.2,53.1,34.5,47.6,41.3,21.2,30.1,17.3,6.4,30.1,28.4,21,17.1,8,30.8,43.8,8.4,9.4,0.8,0.9
165,2015,77,100,98.4,24.3,57.6,74,53.6,28.9,22.1,18.2,7.8,19.8,14.8,21,28.8,16.8,69.1,57.3,6.4,2.8,1.7,1.7
65,2015,64.8,93.6,73.2,35.4,40.9,73.8,55.3,44.3,34.3,20.6,6,28.5,27.4,21.2,15.2,12.9,60.1,45.9,5.9,10.7,2.4,0
213,2015,61.3,67.8,78.6,4,31.8,52,7.8,1.1,47.5,33.6,15.6,53.2,26.5,21.5,9.1,8.9,85.3,61.4,2.2,3.7,0.5,0
182,2015,67.8,96.6,88.4,9.1,47.2,72.9,35.4,16.9,24.7,18.9,6.9,25.8,20.1,18,14.5,14.6,74.9,63.7,2.6,5.5,1.2,2.1
705,2015,60.7,91.8,90.2,47.5,15,47.2,26.4,10.7,31.2,17.5,5.3,23,23.1,19.8,18.2,10,41.4,43.7,7.6,9.9,0.6,1.6
175,2015,64.6,97.7,94.1,13.5,41.4,56,33.4,21.9,28.1,16.8,7.4,17.3,17,13,28.8,24,53.8,48.1,4.4,4.1,1.7,7.8
31,2015,55.4,75.4,97.6,10.7,10.9,46.6,9,3.5,36.3,22.9,7.5,33,33.6,36.1,10.5,13.2,65.7,50,7.4,11.8,1.9,5.7
63,2015,48.9,55.9,96.3,70.3,21,71,38.8,28.5,39,24.7,6.2,37.7,39.2,31.9,11.6,6.2,70.2,64.7,4.5,4.9,2.1,3.9
550,2015,84.9,93.3,95.6,14.7,68.3,53.8,46.8,31.5,29.4,25.7,11.1,28,13.2,9.6,33.4,27.5,52.2,40.2,8.7,8.8,1.6,1
1018,2015,66,99.6,99.1,21,40.5,72.1,42.7,27.9,31.6,16.3,3.9,22.7,16.3,15.9,23.7,19,65.4,45.8,4.2,9.6,2.2,3.6
139,2015,54.7,77,95.5,14,18.7,72,7.1,4.7,36.1,32.2,12.1,43.4,27.7,21.1,11.6,13.9,71.3,56.8,5.4,7.4,0.8,1.4
949,2015,52,80.5,89.7,16.1,16.6,40.8,17.1,5.8,50.3,26,9.3,49.1,32.2,26.5,6,12.4,70,66.7,3.7,6.6,0.5,0
96,2015,85.7,96.4,98.2,17.2,54.5,58.9,56.1,46.4,31.8,26,6.4,32,13.7,11.2,33.6,30.5,51.5,45.3,4,5.4,1.6,5.2
177,2015,62.1,99.6,89.7,6.5,35,57.4,35.7,8.6,25.5,24.5,9.9,22.9,17.2,11.1,15.6,19.4,64.3,60.5,3,6.9,0.2,0
122,2015,65.6,95.2,92,9.9,29.9,65.9,33.1,19,38.4,22.8,7.3,30.4,16.7,12.9,25.7,22.5,76.2,58.4,6,9.2,1.6,2.1
112,2015,65.4,91.4,98.5,6.9,34.7,54.7,37.7,30,44,19,7.6,44.4,23.7,19,17.9,23.2,37.1,33.6,4.6,7.2,1,1.1
933,2015,55.2,61.4,98.8,19.4,15.3,57.2,9.5,6.4,45.2,23.4,10.3,40.5,36.4,21.4,5.2,4.2,75.4,69.9,3.5,3.9,0.5,1.8
726,2015,73.5,88.4,90.4,54.2,20.2,46.1,36.6,21.3,27.8,18.2,4,26.4,16.9,18.1,22.4,20,26.7,39.9,7.4,14.6,1.2,1.9
87,2015,81.9,97.2,91.1,73.9,55.5,72.9,73,59.9,25.4,21.2,10.3,21.6,11.4,7.2,36.6,36,40.6,53.1,6,9,2,4.2
47,2015,68.7,88.1,83,80.7,34.7,84.4,41.7,28.3,26.8,14.3,3.6,29.1,16.3,16.6,36.9,39.5,55.5,61.5,6.1,6.7,2.2,2.8
517,2015,80,100,86.3,9.9,40.7,69.3,27.4,22.3,27.8,20.9,2.5,28,31.6,16.9,16.2,18,37.2,42.9,8.4,12.7,2.3,9.9
243,2015,73,77.9,95.2,16.2,48.4,59.5,25.8,10.3,22.9,25.1,16.9,27.1,18.4,18.9,16.6,12.4,57.8,43.8,7.9,5.9,1.8,5.2
1013,2015,61.6,98,71.7,38.3,32.4,51.5,42.8,31.8,33,45.1,28.5,36.9,22.9,10.7,8.7,16.8,74,39.9,1.9,4.5,1.3,2.5
507,2015,68.3,99.2,81.4,62.8,41.7,66.3,75.1,45.7,31,13.6,6.8,13.1,12.2,17.9,25.1,14.1,56.8,50.5,5.2,14.5,1.7,1.3
720,2015,50.4,81.5,75.2,50.8,15.1,60.5,22.6,11.7,34,18.9,5.4,33.9,24.1,17,8.1,12.9,59.8,59.5,5.7,5.3,0.5,2.6
167,2015,77,99,98.4,22.4,56.1,90.3,35.8,30.5,19.2,14.6,3.2,16.8,10.1,21.9,41.9,32.4,71.9,60,6.7,16.5,1.3,1.4
17,2015,58.4,74.6,84.7,15,16.6,38.2,16.5,2.4,43.1,24.7,10.8,43.3,25.9,35.7,9,3.6,69,49.2,7,12.5,0.9,1
1058,2015,59.9,83.5,99.1,16.1,9.7,52.2,17.7,8.6,42.6,26.2,8.5,43.6,24.1,31.1,11.7,10.4,68.2,50.8,5,8.8,1.6,1.3
