Key, State Code, State name, District code, District name, Year,Chilli Area (000Ha),Chilli Production (000Tonnes),Dry Chillies Area (000Ha),Dry Chillies Production (000Tonnes),Paprika Area (000Ha),Paprika Production (000Tonnes),Methi Area (000Ha),Methi Production (000Tonnes),Ajwain Area (000Ha),Ajwain Production (000Tonnes),Karayat Area (000Ha),Karayat Production (000Tonnes),Cumin Area (000Ha),Cumin Production (000Tonnes),Black Cumin Area (000Ha),Black Cumin Production (000Tonnes),Fennel Area (000Ha),Fennel Production (000Tonnes),Fenugreek Area (000Ha),Fenugreek Production (000Tonnes),Isabgul Area (000Ha),Isabgul Production (000Tonnes),Suva Area (000Ha),Suva Production (000Tonnes),Dill Area (000Ha),Dill Production (000Tonnes),Tamarind Area (000Ha),Tamarind Production (000Tonnes),Clove Area (000Ha),Clove Production (000Tonnes),Cinnamom Area (000Ha),Cinnamom Production (000Tonnes),Cloves & Cinnamon Area (000Ha),Cloves & Cinnamon Production (000Tonnes),Vanilla Area (000Ha),Vanilla Production (000Tonnes),Mint Area (000Ha),Mint Production (000Tonnes),Betelvine Area (000Ha),Betelvine Production (000Tonnes),Pepper Area (000Ha),Pepper Production (000Tonnes),Red Pepper  Area (000Ha),Red Pepper  Production (000Tonnes),Black Pepper Area (000Ha),Black Pepper Production (000Tonnes),Radhuni Area (000Ha),Radhuni Production (000Tonnes),Cocoa Area (000Ha),Cocoa Production (000Tonnes),Ginger Area (000Ha),Ginger Production (000Tonnes),Ginger (Dry) Area (000Ha),Ginger (Dry) Production (000Tonnes),Garlic Area (000Ha),Garlic Production (000Tonnes),Turmeric Area (000Ha),Turmeric Production (000Tonnes),Cardamom Area (000Ha),Cardamom Production (000Tonnes),Coriander Area (000Ha),Coriander Production (000Tonnes),Other Spices Area (000Ha),Other Spices Production (000Tonnes),Total Spices Area (000Ha),Total Spices Production (000Tonnes),
4420071,1,Andhra Pradesh,44,Srikakulam,2007,.,.,3.63,10.67,.,.,.,.,.,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,0.00,0.00,0.00,0.00,.,.,.,.,.,.,0.01,0.00,0.15,2.90,.,.,0.00,0.00,0.36,2.21,.,.,0.05,0.06,.,.,4.19,15.84,
4420081,1,Andhra Pradesh,44,Srikakulam,2008,.,.,3.63,10.89,.,.,.,.,.,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,0.00,0.00,0.00,0.00,.,.,.,.,.,.,0.00,0.00,0.15,2.90,.,.,0.00,0.00,0.57,3.52,.,.,0.05,0.06,.,.,4.39,17.37,
4420091,1,Andhra Pradesh,44,Srikakulam,2009,.,.,3.63,10.89,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,0.00,0.00,0.00,0.00,.,.,.,.,.,.,0.00,0.00,0.00,0.00,.,.,0.00,0.00,0.22,1.33,.,.,0.25,0.29,.,.,4.09,12.52,
4420101,1,Andhra Pradesh,44,Srikakulam,2010,.,.,9.36,28.09,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.02,0.12,.,.,.,.,.,.,.,.,.,.,0.00,0.00,0.00,0.00,.,.,.,.,.,.,0.06,0.03,0.06,1.20,.,.,0.13,1.25,0.79,4.92,.,.,0.25,0.29,.,.,10.67,35.90,
4420111,1,Andhra Pradesh,44,Srikakulam,2011,.,.,9.55,28.65,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.02,0.13,.,.,.,.,.,.,.,.,.,.,0.00,0.00,0.00,0.00,.,.,.,.,.,.,0.07,0.04,0.06,1.22,.,.,0.13,1.28,0.81,5.01,.,.,0.25,0.30,.,.,10.89,36.63,
4420121,1,Andhra Pradesh,44,Srikakulam,2012,.,.,6.53,19.60,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.02,0.12,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,0.00,.,.,.,.,.,.,0.10,0.02,0.06,1.20,.,.,0.13,1.25,0.44,2.72,.,.,0.25,0.29,.,.,7.51,25.20,
4420131,1,Andhra Pradesh,44,Srikakulam,2013,.,.,7.25,21.76,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.02,0.14,.,.,.,.,.,.,.,.,.,.,0.00,0.00,0.00,0.00,.,.,.,.,.,.,0.11,0.02,0.07,1.33,.,.,0.14,1.39,0.49,3.01,.,.,0.27,0.33,.,.,8.34,27.97,
4420141,1,Andhra Pradesh,44,Srikakulam,2014,.,.,0.07,0.29,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.01,0.06,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,0.10,1.46,.,.,0.00,0.00,0.24,1.69,.,.,0.04,0.08,.,.,0.46,3.57,
4420151,1,Andhra Pradesh,44,Srikakulam,2015,.,.,1.89,5.68,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.01,0.06,.,.,.,.,.,.,.,.,.,.,0.00,0.00,0.00,0.00,.,.,.,.,.,.,.,.,0.12,1.97,.,.,0.00,0.00,0.25,1.96,.,.,0.03,0.06,0.00,0.00,2.30,9.73,
4420161,1,Andhra Pradesh,44,Srikakulam,2016,.,.,1.89,2.27,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.01,0.08,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.12,1.97,.,.,.,.,0.25,1.96,.,.,0.03,0.06,.,.,2.30,6.34,
