Key,  State Code,  State name,  District code,  District name,  Year, Potato Area (000Ha), Potato Production (000Tonnes), Sweet Potato Area (000Ha), Sweet Potato Production (000Tonnes), Onion Area (000Ha), Onion Production (000Tonnes), Green onion Area (000Ha), Green onion Production (000Tonnes), Tomato Area (000Ha), Tomato Production (000Tonnes), Ladys finger Area (000Ha), Ladys finger Production (000Tonnes), Brinjal Area (000Ha), Brinjal Production (000Tonnes), Cauliflower Area (000Ha), Cauliflower Production (000Tonnes), Cabbage Area (000Ha), Cabbage Production (000Tonnes), Knol Khol Area (000Ha), Knol Khol Production (000Tonnes), Pumpkin Area (000Ha), Pumpkin Production (000Tonnes), Mushroom Area (000Ha), Mushroom Production (000Tonnes), Drum Stick Area (000Ha), Drum Stick Production (000Tonnes), Ridge Gourd Area (000Ha), Ridge Gourd Production (000Tonnes), Ghosali Area (000Ha), Ghosali Production (000Tonnes), Sponge Gourd Area (000Ha), Sponge Gourd Production (000Tonnes), Bottle Gourd Area (000Ha), Bottle Gourd Production (000Tonnes), Bitter Gourd Area (000Ha), Bitter Gourd Production (000Tonnes), Snake gourd Area (000Ha), Snake gourd Production (000Tonnes), Tinda Area (000Ha), Tinda Production (000Tonnes), Kundru/Perwal Area (000Ha), Kundru/Perwal Production (000Tonnes), Cucurbits Area (000Ha), Cucurbits Production (000Tonnes), Pointed gourd Area (000Ha), Pointed gourd Production (000Tonnes), Ashgourd Area (000Ha), Ashgourd Production (000Tonnes), Little Gourd Area (000Ha), Little Gourd Production (000Tonnes),Gourds &  Coccinia Area (000Ha),Gourds &  Coccinia Production (000Tonnes),Other Gourd Varieties Area (000Ha),Other Gourd Varieties Production (000Tonnes), Gourds Area (000Ha), Gourds Production (000Tonnes), Cowpea Area (000Ha), Cowpea Production (000Tonnes), Green Peas Area (000Ha), Green Peas Production (000Tonnes), Peas Area (000Ha), Peas Production (000Tonnes), Cluster beans Area (000Ha), Cluster beans Production (000Tonnes), Beans Area (000Ha), Beans Production (000Tonnes), French Bean Area (000Ha), French Bean Production (000Tonnes),Beans (All Inc Lab-lab(Sem) Area (000Ha),Beans (All Inc Lab-lab(Sem) Production (000Tonnes), Lab Lab Area (000Ha), Lab Lab Production (000Tonnes), Avarai Area (000Ha), Avarai Production (000Tonnes), Karamani Area (000Ha), Karamani Production (000Tonnes), Mogri Area (000Ha), Mogri Production (000Tonnes), Kakri Area (000Ha), Kakri Production (000Tonnes), Kheera Area (000Ha), Kheera Production (000Tonnes), Gherkins Area (000Ha), Gherkins Production (000Tonnes),Long melon (Kakri) Area (000Ha),Long melon (Kakri) Production (000Tonnes), Kachari Area (000Ha), Kachari Production (000Tonnes), Cucumber Area (000Ha), Cucumber Production (000Tonnes), Leafy Veg. Area (000Ha), Leafy Veg. Production (000Tonnes), Spinach (Palak) Area (000Ha), Spinach (Palak) Production (000Tonnes), Math/Rajgira Area (000Ha), Math/Rajgira Production (000Tonnes), Methi Area (000Ha), Methi Production (000Tonnes), Amaranthus Area (000Ha), Amaranthus Production (000Tonnes), Jimikand Area (000Ha), Jimikand Production (000Tonnes), Yam Area (000Ha), Yam Production (000Tonnes), Elephant Yam Area (000Ha), Elephant Yam Production (000Tonnes), Ratalu Area (000Ha), Ratalu Production (000Tonnes), Tapioca Area (000Ha), Tapioca Production (000Tonnes), Amorphospholus Area (000Ha), Amorphospholus Production (000Tonnes), Mooli Area (000Ha), Mooli Production (000Tonnes), Colocasia Area (000Ha), Colocasia Production (000Tonnes), Arbi Area (000Ha), Arbi Production (000Tonnes), Turnip Area (000Ha), Turnip Production (000Tonnes), Radish Area (000Ha), Radish Production (000Tonnes), Carrot Area (000Ha), Carrot Production (000Tonnes),"Radish, Turnip & Carrot Area (000Ha)","Radish, Turnip & Carrot Production (000Tonnes)","  Root 
crops Area (000Ha)","  Root 
crops Production (000Tonnes)",Other Root crops Area (000Ha),Other Root crops Production (000Tonnes), Beetroot Area (000Ha), Beetroot Production (000Tonnes), Wall (pawata) Area (000Ha), Wall (pawata) Production (000Tonnes), Wal Area (000Ha), Wal Production (000Tonnes), Vine Crops Area (000Ha), Vine Crops Production (000Tonnes), Oal Area (000Ha), Oal Production (000Tonnes), Green Chillies Area (000Ha), Green Chillies Production (000Tonnes),Capsicum &  Chillies Area (000Ha),Capsicum &  Chillies Production (000Tonnes), Capsicum Area (000Ha), Capsicum Production (000Tonnes), Shimla Mirchi Area (000Ha), Shimla Mirchi Production (000Tonnes), Water Melon Area (000Ha), Water Melon Production (000Tonnes), Musk Melon Area (000Ha), Musk Melon Production (000Tonnes), Turmeric Area (000Ha), Turmeric Production (000Tonnes), Garlic Area (000Ha), Garlic Production (000Tonnes), Curry leaves Area (000Ha), Curry leaves Production (000Tonnes), Mint Area (000Ha), Mint Production (000Tonnes),Green Coriander Area (000Ha),Green Coriander Production (000Tonnes),Other Vegetables Area (000Ha),Other Vegetables Production (000Tonnes),Total  Vegetables Area (000Ha),Total  Vegetables Production (000Tonnes),
4420071,1,Andhra Pradesh,44,Srikakulam,2007,0.00,0.00,0.06,1.24,1.60,27.25,.,.,0.79,15.03,0.59,8.82,1.07,21.30,.,.,0.58,8.67,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.05,0.57,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.67,9.98,.,.,.,.,0.00,0.00,.,.,0.43,5.20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.04,0.70,0.51,5.11,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.27,5.34,.,.,.,.,.,.,.,.,.,.,.,.,0.02,0.31,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.61,7.30,7.28,116.81,
4420081,1,Andhra Pradesh,44,Srikakulam,2008,0.00,0.00,0.11,2.12,1.39,23.56,.,.,0.74,14.70,0.69,10.28,1.07,21.30,.,.,0.69,10.37,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.05,0.62,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.68,10.26,.,.,.,.,0.00,0.00,.,.,0.50,5.94,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.04,0.70,0.51,5.11,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.27,5.34,.,.,.,.,.,.,.,.,.,.,.,.,0.07,1.36,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.61,6.08,7.39,117.73,
4420091,1,Andhra Pradesh,44,Srikakulam,2009,0.00,0.00,0.11,2.20,1.60,27.20,.,.,0.79,15.03,0.59,8.82,1.08,21.66,0.30,6.00,0.28,4.17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.36,5.34,.,.,.,.,.,.,.,.,0.00,0.00,.,.,0.43,5.17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.02,0.32,0.45,4.45,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.20,3.96,.,.,.,.,.,.,.,.,.,.,.,.,0.10,1.74,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.64,6.35,6.93,112.41,
4420101,1,Andhra Pradesh,44,Srikakulam,2010,0.00,0.00,0.04,0.81,2.62,44.57,.,.,6.86,137.26,2.82,42.31,2.95,59.07,.,.,1.51,22.62,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.20,3.07,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.12,1.23,.,.,0.43,5.22,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.26,5.16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.04,0.73,.,.,.,.,.,.,.,.,.,.,.,.,0.17,3.03,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.65,10.32,18.68,335.39,
4420111,1,Andhra Pradesh,44,Srikakulam,2011,0.00,0.00,0.04,0.81,2.66,45.24,.,.,6.97,139.32,2.86,42.94,3.00,59.96,.,.,1.53,22.96,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.21,3.11,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.13,1.25,.,.,0.44,5.30,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.26,5.23,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.04,0.74,.,.,.,.,.,.,.,.,.,.,.,.,0.17,3.07,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.66,10.47,18.96,340.41,
4420121,1,Andhra Pradesh,44,Srikakulam,2012,0.00,0.00,0.02,0.46,4.60,82.80,.,.,5.89,117.82,2.59,38.82,3.08,61.66,.,.,0.28,4.17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.23,2.52,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.15,1.50,.,.,0.43,5.17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.20,4.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.20,3.96,.,.,.,.,.,.,.,.,.,.,.,.,0.17,3.19,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.65,7.84,18.50,333.90,
4420131,1,Andhra Pradesh,44,Srikakulam,2013,0.00,0.00,0.03,0.51,5.11,91.91,.,.,7.26,145.17,2.99,44.81,3.42,68.44,.,.,0.32,4.86,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.25,2.80,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.17,1.67,.,.,0.48,5.74,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.22,4.44,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.22,4.40,.,.,.,.,.,.,.,.,.,.,.,.,0.19,3.54,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.72,8.70,21.38,386.98,
4420141,1,Andhra Pradesh,44,Srikakulam,2014,0.01,0.30,0.03,0.56,0.57,10.17,.,.,0.73,16.84,0.31,3.13,0.52,11.40,0.39,4.73,0.35,4.22,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.07,0.99,0.06,0.76,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.01,0.04,.,.,0.12,0.96,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.02,0.29,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.01,0.42,.,.,0.05,0.74,.,.,.,.,.,.,.,.,.,.,0.04,0.35,0.05,0.68,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.04,0.19,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.66,10.69,4.04,67.44,
4420151,1,Andhra Pradesh,44,Srikakulam,2015,0.00,0.00,0.03,0.62,0.64,11.53,.,.,0.28,7.00,0.38,5.70,0.35,8.63,0.22,2.86,0.14,1.93,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,0.07,1.09,0.06,0.83,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.01,0.07,.,.,0.07,0.73,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.02,0.36,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.02,0.58,.,.,0.04,0.58,.,.,.,.,.,.,.,.,.,.,0.02,0.18,0.04,0.53,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.06,0.68,.,.,0.00,0.04,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.54,9.72,2.96,53.64,
4420161,1,Andhra Pradesh,44,Srikakulam,2016,.,.,0.03,0.65,0.64,14.10,.,.,0.31,28.08,0.39,6.70,0.35,8.63,0.25,2.96,0.14,2.35,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.07,1.16,0.06,0.99,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.01,0.07,.,.,0.07,0.95,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.02,0.36,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.02,0.10,.,.,0.04,0.58,.,.,.,.,.,.,.,.,.,.,0.02,0.28,0.04,0.70,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.06,1.48,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.59,25.46,4.09,95.57,
