Key,Dist Code,Year,State Code,State Name,Dist Name,CANALS AREA (1000 ha),TANKS AREA (1000 ha),TUBE WELLS AREA (1000 ha),OTHER WELLS AREA (1000 ha),TOTAL WELLS AREA (1000 ha),OTHER SOURCES AREA (1000 ha),NET AREA (1000 ha),GROSS AREA (1000 ha)
1199014,1,1990,14,Chhattisgarh,Durg,118,4.8,8.6,6.3,14.9,16.5,154.2,171.9
1199114,1,1991,14,Chhattisgarh,Durg,144.08,10.84,11.19,8.77,19.96,18.42,193.31,204.95
1199214,1,1992,14,Chhattisgarh,Durg,130.53,8.92,14.6,9.2,23.8,36.15,199.39,214.06
1199314,1,1993,14,Chhattisgarh,Durg,142.59,6.16,15.34,8.05,23.39,30.19,202.34,223.01
1199414,1,1994,14,Chhattisgarh,Durg,146.67,9.75,19.35,7.31,26.66,14.55,197.63,232.86
1199514,1,1995,14,Chhattisgarh,Durg,149.55,17.26,19.76,7.51,27.27,11.49,205.57,234.9
1199614,1,1996,14,Chhattisgarh,Durg,153.88,9.32,20.42,7.41,27.83,18.78,209.81,230.49
1199714,1,1997,14,Chhattisgarh,Durg,151.2,9.79,21.9,6.5,28.41,16.16,205.55,233.17
1199814,1,1998,14,Chhattisgarh,Durg,107.05,9.79,27.97,7.23,35.2,18.16,170.2,194.51
1199914,1,1999,14,Chhattisgarh,Durg,131.37,7.71,31.04,5.71,36.76,18.56,194.39,242.05
1200014,1,2000,14,Chhattisgarh,Durg,85.67,6.44,40.48,5.39,45.87,16.25,154.23,178.71
1200114,1,2001,14,Chhattisgarh,Durg,140.74,7.6,44,3.67,47.66,19.61,215.61,245.39
1200214,1,2002,14,Chhattisgarh,Durg,100.96,5.62,48.23,4.29,52.52,19.05,178.14,205.72
1200314,1,2003,14,Chhattisgarh,Durg,112.82,4.69,41.12,3.42,44.54,19.59,181.64,215.85
1200414,1,2004,14,Chhattisgarh,Durg,126.12,10.18,60.12,2.89,63,16.12,215.43,259.29
1200514,1,2005,14,Chhattisgarh,Durg,129.97,5.82,66.71,2.56,69.27,17.58,222.64,272.92
1200614,1,2006,14,Chhattisgarh,Durg,129.37,4.94,75.73,2.43,78.16,16.68,229.15,290.57
1200714,1,2007,14,Chhattisgarh,Durg,138.86,4.71,75.74,2.07,77.8,17.45,238.82,309.87
1200814,1,2008,14,Chhattisgarh,Durg,117.38,3.27,86.23,1.94,88.17,18.73,227.54,303.31
1200914,1,2009,14,Chhattisgarh,Durg,103.75,1.93,95.58,1.53,97.11,12.85,215.63,280.54
1201014,1,2010,14,Chhattisgarh,Durg,127.21,2.73,91.79,1.68,93.47,12.62,236.03,317.43
1201114,1,2011,14,Chhattisgarh,Durg,55.17,0,28.92,0.52,29.44,4,88.62,109.08
1201214,1,2012,14,Chhattisgarh,Durg,57.03,1.2,31.84,0.41,32.25,3.47,93.94,113.95
1201314,1,2013,14,Chhattisgarh,Durg,58.5,1.64,28.37,0.59,28.95,2.96,92.05,113.59
1201414,1,2014,14,Chhattisgarh,Durg,57.87,1.49,29.26,0.64,29.91,3.3,92.56,114.32
1201514,1,2015,14,Chhattisgarh,Durg,55.86,1.44,29.32,0.61,29.93,2.61,89.84,110.85
1201614,1,2016,14,Chhattisgarh,Durg,56.09,1.54,30.9,0.59,31.49,4.99,94.11,117.5
