Key,Dist Code,Year,State Code,State Name,Dist Name,NITROGEN CONSUMPTION (tons),NITROGEN SHARE IN NPK (Percent),NITROGEN PER HA OF NCA (Kg per ha),NITROGEN PER HA OF GCA (Kg per ha),PHOSPHATE CONSUMPTION (tons),PHOSPHATE SHARE IN NPK (Percent),PHOSPHATE PER HA OF NCA (Kg per ha),PHOSPHATE PER HA OF GCA (Kg per ha),POTASH CONSUMPTION (tons),POTASH SHARE IN NPK (Percent),POTASH PER HA OF NCA (Kg per ha),POTASH PER HA OF GCA (Kg per ha),TOTAL CONSUMPTION (tons),TOTAL PER HA OF NCA (Kg per ha),TOTAL PER HA OF GCA (Kg per ha)
1199014,1,1990,14,Chhattisgarh,Durg,11776,60.3,21.68,15.54,5834,29.9,10.74,7.7,1915,9.8,3.53,2.53,19525,35.95,25.76
1199114,1,1991,14,Chhattisgarh,Durg,12401,48.1,22.74,16.35,9870,38.3,18.1,13.01,3528,13.7,6.47,4.65,25799,47.31,34.02
1199214,1,1992,14,Chhattisgarh,Durg,17443,54.3,31.89,22.94,10561,32.9,19.31,13.89,4119,12.8,7.53,5.42,32123,58.74,42.24
1199314,1,1993,14,Chhattisgarh,Durg,14996,58.4,27.28,18.83,8640,33.7,15.71,10.85,2040,7.9,3.71,2.56,25676,46.7,32.24
1199414,1,1994,14,Chhattisgarh,Durg,18021,62.7,32.7,22.02,8502,29.6,15.43,10.39,2236,7.8,4.06,2.73,28759,52.19,35.14
1199514,1,1995,14,Chhattisgarh,Durg,18021,62.7,32.59,22.04,8502,29.6,15.38,10.4,2236,7.8,4.04,2.74,28759,52.01,35.18
1199614,1,1996,14,Chhattisgarh,Durg,18021,62.7,32.38,22.41,8502,29.6,15.28,10.57,2236,7.8,4.02,2.78,28759,51.68,35.77
1199714,1,1997,14,Chhattisgarh,Durg,24767,64.9,44.6,31.21,9604,25.1,17.3,12.1,3820,10,6.88,4.81,38191,68.78,48.12
1199814,1,1998,14,Chhattisgarh,Durg,23154,65.3,42.24,31.68,9832,27.7,17.94,13.45,2468,7,4.5,3.38,35454,64.67,48.51
1199914,1,1999,14,Chhattisgarh,Durg,25602,62.9,46.34,32.3,10516,25.9,19.03,13.27,4559,11.2,8.25,5.75,40677,73.63,51.31
1200014,1,2000,14,Chhattisgarh,Durg,22603,61.4,41.97,35.63,10193,27.7,18.93,16.07,4042,11,7.51,6.37,36838,68.4,58.07
1200114,1,2001,14,Chhattisgarh,Durg,24562,63.8,44.97,33.16,10601,27.5,19.41,14.31,3364,8.7,6.16,4.54,38527,70.54,52.01
1200214,1,2002,14,Chhattisgarh,Durg,19020,58,34.92,27.41,9516,29,17.47,13.71,4250,13,7.8,6.12,32786,60.19,47.25
1200314,1,2003,14,Chhattisgarh,Durg,20758,62,37.81,27.13,8902,26.6,16.21,11.63,3797,11.3,6.92,4.96,33457,60.94,43.73
1200414,1,2004,14,Chhattisgarh,Durg,29974,60.1,54.4,37.43,14014,28.1,25.44,17.5,5856,11.7,10.63,7.31,49844,90.47,62.25
