Key,Dist Code,Year,State Code,State Name,Dist Name,NITROGEN KHARIF CONSUMPTION (tons),NITROGEN RABI CONSUMPTION (tons),PHOSPHATE KHARIF CONSUMPTION (tons),PHOSPHATE RABI CONSUMPTION (tons),POTASH KHARIF CONSUMPTION (tons),POTASH RABI CONSUMPTION (tons),TOTAL KHARIF CONSUMPTION (tons),TOTAL RABI CONSUMPTION (tons)
1199014,1,1990,14,Chhattisgarh,Durg,9725,2051,4165,1669,1269,646,15159,4366
1199114,1,1991,14,Chhattisgarh,Durg,10350,2051,8113,1757,2905,623,21368,4431
1199214,1,1992,14,Chhattisgarh,Durg,10350,2051,8113,1757,2905,623,21368,4431
1199314,1,1993,14,Chhattisgarh,Durg,15106,2337,8366,2195,3464,655,26936,5187
1199414,1,1994,14,Chhattisgarh,Durg,15672,2349,7210,1292,1625,611,24507,4252
1199514,1,1995,14,Chhattisgarh,Durg,15672,2349,7210,1292,1625,611,24507,4252
1199614,1,1996,14,Chhattisgarh,Durg,15672,2349,7210,1292,1625,611,24507,4252
1199714,1,1997,14,Chhattisgarh,Durg,21844,2923,8515,1089,3357,463,33716,4475
1199814,1,1998,14,Chhattisgarh,Durg,-1,-1,-1,-1,-1,-1,-1,-1
1199914,1,1999,14,Chhattisgarh,Durg,-1,-1,-1,-1,-1,-1,-1,-1
1200014,1,2000,14,Chhattisgarh,Durg,20384,2219,8990,1203,3547,495,32921,3917
1200114,1,2001,14,Chhattisgarh,Durg,23759,803,9723,878,3229,135,36711,1816
1200214,1,2002,14,Chhattisgarh,Durg,17211,1809,8412,1104,3708,542,29331,3455
1200314,1,2003,14,Chhattisgarh,Durg,18802,1957,7653,1249,3169,628,29624,3834
1200414,1,2004,14,Chhattisgarh,Durg,24376,5598,10727,3287,4477,1379,39580,10264
1200514,1,2005,14,Chhattisgarh,Durg,24801,6018,9438,4682,5518,1459,39757,12159
1200614,1,2006,14,Chhattisgarh,Durg,35932,5545,13846,4055,6349,2209,56127,11809
1200714,1,2007,14,Chhattisgarh,Durg,30644,8193,13733,4678,7318,1696,51695,14567
1200814,1,2008,14,Chhattisgarh,Durg,27577,7547,17140,5490,10244,2676,54961,15713
1200914,1,2009,14,Chhattisgarh,Durg,41626,7324,22285,2712,9860,3049,73771,13085
1201014,1,2010,14,Chhattisgarh,Durg,40273,10744,22313,6104,12525,1613,75111,18461
1201114,1,2011,14,Chhattisgarh,Durg,33180,14471,19542,8876,6015,2671,58737,26018
1201214,1,2012,14,Chhattisgarh,Durg,15226,2414,7405,3412,2897,458,25528,6284
1201314,1,2013,14,Chhattisgarh,Durg,13972,4667,5262,2585,2101,766,21335,8018
1201414,1,2014,14,Chhattisgarh,Durg,13740,5868,7197,4540,2828,2380,23765,12788
1201514,1,2015,14,Chhattisgarh,Durg,20483,4447,5949,4123,3571,1181,30003,9751
1201614,1,2016,14,Chhattisgarh,Durg,20089,2884,10032,3887,2516,1842,32636,8613
1201714,1,2017,14,Chhattisgarh,Durg,13609,3854,6244,1800,3185,511,23038,6165
