Key,Dist Code,Year,State Code,State Name,Dist Name,DISTRICT MALE FIELD LABOUR (Rs per Day),DISTRICT FEMALE FIELD LABOUR (Rs per Day),STATE MALE AVERAGE FIELD LABOUR (Rs per Day),STATE FEMALE AVERAGE FIELD LABOUR (Rs per Day)
1199014,1,1990,14,Chhattisgarh,Durg,15,14.6,17.46,14.6
1199114,1,1991,14,Chhattisgarh,Durg,17.7,12,20.13,12
1199214,1,1992,14,Chhattisgarh,Durg,21,15,23.91,15
1199314,1,1993,14,Chhattisgarh,Durg,-1,12,24.82,12
1199414,1,1994,14,Chhattisgarh,Durg,-1,15,28.86,15
1199514,1,1995,14,Chhattisgarh,Durg,-1,-1,-1,-1
1199614,1,1996,14,Chhattisgarh,Durg,-1,-1,-1,-1
1199714,1,1997,14,Chhattisgarh,Durg,40,15,37.83,15
1199814,1,1998,14,Chhattisgarh,Durg,62.5,24.67,41.9,24.67
1199914,1,1999,14,Chhattisgarh,Durg,88.13,20,45.31,20
1200014,1,2000,14,Chhattisgarh,Durg,-1,-1,-1,-1
1200114,1,2001,14,Chhattisgarh,Durg,-1,-1,-1,-1
1200214,1,2002,14,Chhattisgarh,Durg,-1,-1,-1,-1
1200314,1,2003,14,Chhattisgarh,Durg,-1,-1,-1,-1
1200414,1,2004,14,Chhattisgarh,Durg,-1,-1,-1,-1
1200514,1,2005,14,Chhattisgarh,Durg,33.19,24.67,47,24.67
1200614,1,2006,14,Chhattisgarh,Durg,37.35,25,48.07,25
1200714,1,2007,14,Chhattisgarh,Durg,43.54,38.61,53.85,38.61
1200814,1,2008,14,Chhattisgarh,Durg,45,40,63.82,40
1200914,1,2009,14,Chhattisgarh,Durg,67.92,51.67,71.45,51.67
1201214,1,2012,14,Chhattisgarh,Durg,262.5,-1,125.02,-1
1201414,1,2014,14,Chhattisgarh,Durg,195.45,-1,176,-1
1201514,1,2015,14,Chhattisgarh,Durg,242.86,-1,180.8,-1
1201614,1,2016,14,Chhattisgarh,Durg,260,-1,201,-1
1201714,1,2017,14,Chhattisgarh,Durg,246,-1,200,-1
2199014,2,1990,14,Chhattisgarh,Bastar,12,11,17.46,11
2199114,2,1991,14,Chhattisgarh,Bastar,14.7,12,20.13,12
2199214,2,1992,14,Chhattisgarh,Bastar,19.6,15,23.91,15
2199314,2,1993,14,Chhattisgarh,Bastar,-1,20,24.82,20
2199414,2,1994,14,Chhattisgarh,Bastar,-1,20,28.86,20
2199514,2,1995,14,Chhattisgarh,Bastar,-1,-1,-1,-1
2199614,2,1996,14,Chhattisgarh,Bastar,-1,-1,-1,-1
