Key,State Code,State,District code,District,Year,Mango Area (000Ha),Mango Production (000t),Orange  Area (000Ha),Orange Production (000t),Sweet Orange Area (000Ha),Sweet Orange Production (000t), Mandarin Orange Area (000Ha), Mandarin Orange Production (000t),Orange(Santra) Area (000Ha),Orange(Santra) Production (000t),Malta Area (000Ha),Malta Production (000t),Mausmi Area (000Ha),#N/A,Banana Area (000Ha),Banana Production (000t),Grapes Area (000Ha),Grapes Production (000t),Guava Area (000Ha),Guava Production (000t),Papaya Area (000Ha),Papaya Production (000t),Water Melon Area (000Ha),Water Melon Production (000t),Litchi Area (000Ha),Litchi Production (000t),Custard Apple Area (000Ha),Custard Apple Production (000t),Aonla Area (000Ha),Aonla Production (000t), Amla Area (000Ha), Amla Production (000t),Ber Area (000Ha),Ber Production (000t),Jack fruit Area (000Ha),Jack fruit Production (000t),Sapota  Area (000Ha),Sapota Production (000t),Pomegranate Area (000Ha),Pomegranate Production (000t),Pine Apple Area (000Ha),Pine Apple Production (000t),Lemon Area (000Ha),Lemon Production (000t),K.Lime Area (000Ha),K.Lime Production (000t),Galgal Area (000Ha),Galgal Production (000t),#N/A,#N/A,Musk Melon Area (000Ha),Musk Melon Production (000t),Pear Area (000Ha),Pear Production (000t),Date palm Area (000Ha),Date palm Production (000t),Peach Area (000Ha),Peach Production (000t),Plum Area (000Ha),Plum Production (000t),Jamun Area (000Ha),Jamun Production (000t),Bael Area (000Ha),Bael Production (000t),Strawberry Area (000Ha),Strawberry Production (000t), Apple Area (000Ha), Apple Production (000t), Apricot Area (000Ha), Apricot Production (000t), Cherry Area (000Ha), Cherry Production (000t),G_Almond Area (000Ha),G_Almond Production (000t),Almond Area (000Ha),Almond Production (000t),Persimon Area (000Ha),Persimon Production (000t),Olive Area (000Ha),Olive Production (000t),Kiwi Area (000Ha),Kiwi Production (000t),Walnut Area (000Ha),Walnut Production (000t),Picanut Area (000Ha),Picanut Production (000t),Loquat Area (000Ha),Loquat Production (000t),Fig Area (000Ha),Fig Production (000t),#N/A,#N/A,Phalsa Area (000Ha),#N/A,Mulberry Area (000Ha),#N/A,Dragon Fruit Area (000Ha),Dragon Fruit Production (000t),Citrus Area (000Ha),Citrus Production (000t),Other citrus Area (000Ha),Other citrus Production (000t),Arecanut Area (000Ha),Arecanut Production (000t),Cashew Nut Area (000Ha),Cashew Nut Production (000t),Coconut Area (000Ha),Coconut Production (000t),Other Fruits Area (000Ha),Other Fruits Production (000t),Total Fruits  Area (000Ha),Total Fruits  Production (000t)
4420071,1,Andhra Pradesh,44,Srikakulam,2007,13.34,114.72,0,0,,,,,,,,,,,2.23,77.98,,,0.06,0.89,0.02,1.92,,,,,0.01,0.06,,,,,,,,,0.03,0.33,0,0,,,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,1.1,10.97,16.79,206.86
4420081,1,Andhra Pradesh,44,Srikakulam,2008,14.45,124.26,0,0,,,,,,,,,,,2.23,77.98,0,0,0.06,0.89,0.02,1.92,,,,,0.01,0.06,,,,,,,,,0.03,0.33,0,0,,,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,1.1,10.97,17.9,216.41
4420091,1,Andhra Pradesh,44,Srikakulam,2009,12.23,105.14,0,0,,,,,,,,,,,2,70,0,0,0,0,0.2,16,,,,,0.01,0.06,,,,,,,,,0.03,0.33,0,0,,,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,1.1,10.97,15.57,202.5
4420101,1,Andhra Pradesh,44,Srikakulam,2010,7.64,61.09,0.12,1.68,,,,,,,,,,,2.25,78.65,0,0,0.06,0.93,0.14,11.36,,,,,0.07,0.43,,,,,,,,,0.03,0.31,0,0,,,0,0.07,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,0.73,7.35,11.05,161.87
4420111,1,Andhra Pradesh,44,Srikakulam,2011,7.98,63.84,0.13,1.75,,,,,,,,,,,2.35,82.23,0,0,0.06,0.97,0.15,11.87,,,,,0.07,0.45,,,,,,,,,0.03,0.33,0,0,,,0.01,0.08,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,0.73,7.35,11.52,168.86
4420121,1,Andhra Pradesh,44,Srikakulam,2012,9.31,83.81,0.3,4.09,,,,,,,,,,,2.53,88.38,0,0,0.09,1.31,0.2,16,,,,,0.08,0.48,,,,,,,,,0.03,0.33,0,0,,,0,0.07,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,1.1,10.97,13.64,205.43
4420131,1,Andhra Pradesh,44,Srikakulam,2013,9.46,85.1,0.34,4.54,,,,,,,,,,,3.36,117.52,0,0,0.11,1.7,0.22,17.76,,,,,0.09,0.53,,,,,,,,,0.07,0.69,0,0,,,0.01,0.08,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,1.22,12.18,14.87,240.1
4420141,1,Andhra Pradesh,44,Srikakulam,2014,9.38,84.42,0.32,4.85,,,,,,,,,,,2.59,64.85,,,0.14,1.64,0.09,5.7,,,,,0.06,0.33,,,,,,,0.04,0.42,0.05,0.68,,,2.15,27.96,0.03,0.3,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.84,191.14
4420151,1,Andhra Pradesh,44,Srikakulam,2015,10.2,122.34,0.33,5.25,,,,,,,,,,,2.87,80.36,0,0,0.14,1.95,0.25,17.27,0.06,1.65,,,0.06,0.46,,,0,0,0,0,0.04,0.52,0.06,0.77,0,0,3.14,47.1,0.03,0.38,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,17.16,278.05
4420161,1,Andhra Pradesh,44,Srikakulam,2016,10.22,122.58,0.33,6.56,,,,,,,,,,,2.87,152.11,,,0.15,4.96,0.3,29.8,0.06,1.71,,,0.06,0.46,,,,,,,0.04,1.26,0.06,0.72,,,3.14,47.1,0.03,0.46,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17.23,367.72
