Key,Dist Code,Year,State Code,State Name,Dist Name,DIESEL PUMPSETS NUMBER (1000 Number),DIESEL PUMPSETS DENSITY (Per 1000 ha),ELECTRIC PUMPSETS NUMBER (1000 Number),ELECTRIC PUMPSETS DENSITY (Per 1000 ha),POWER TILLER NUMBER (1000 Number),POWER TILLER DENSITY (Per 1000 ha),TRACTORS NUMBER (1000 Number),TRACTORS DENSITY (Per 1000 ha)
1199214,1,1992,14,Chhattisgarh,Durg,3.03,55.46,7.09,129.58,0.2,3.6,1.51,27.59
1199714,1,1997,14,Chhattisgarh,Durg,3.45,62.07,8.94,161.07,-1,-1,2.31,41.62
1200314,1,2003,14,Chhattisgarh,Durg,5.05,91.92,20.42,371.84,0.14,2.53,3.6,65.55
2199214,2,1992,14,Chhattisgarh,Bastar,3.93,45.84,0.62,7.23,0.02,0.28,0.24,2.74
2199714,2,1997,14,Chhattisgarh,Bastar,5.01,57.69,1.57,18.07,-1,-1,0.76,8.71
2200314,2,2003,14,Chhattisgarh,Bastar,2.11,60,0.95,27.06,0.01,0.31,0.39,11.08
3199214,3,1992,14,Chhattisgarh,Raipur,16.58,176.33,6.43,68.35,0.3,3.16,2.84,30.16
3199714,3,1997,14,Chhattisgarh,Raipur,7.58,79.53,7.37,77.28,-1,-1,5.05,52.95
3200314,3,2003,14,Chhattisgarh,Raipur,4.97,90.44,14.1,256.65,0.04,0.71,3.47,63.1
4199214,4,1992,14,Chhattisgarh,Bilaspur,1.12,13.5,0.44,5.33,0.07,0.79,1.33,16.07
4199714,4,1997,14,Chhattisgarh,Bilaspur,3.08,37.38,4.6,55.76,-1,-1,2.57,31.12
4200314,4,2003,14,Chhattisgarh,Bilaspur,1.69,45.98,7.84,213.15,0.02,0.52,1.64,44.43
5199214,5,1992,14,Chhattisgarh,Raigarh,3.74,68.66,1.67,30.69,0.12,2.24,0.91,16.8
5199714,5,1997,14,Chhattisgarh,Raigarh,2.31,42.91,2.18,40.47,-1,-1,1.77,32.97
5200314,5,2003,14,Chhattisgarh,Raigarh,2.45,87.2,6.75,240.07,0.12,4.38,2.69,95.78
6199214,6,1992,14,Chhattisgarh,Surguja,2.48,42.83,1.62,28.03,0.09,1.59,0.48,8.25
6199714,6,1997,14,Chhattisgarh,Surguja,3.33,55.76,2.16,36.25,-1,-1,1.18,19.76
6200314,6,2003,14,Chhattisgarh,Surguja,4.53,93.46,6.52,134.48,0.01,0.23,0.58,11.92
719926,7,1992,6,Madhya Pradesh,Jabalpur,6.97,151.92,12.98,283.06,0.81,17.71,2.39,52.12
719976,7,1997,6,Madhya Pradesh,Jabalpur,5.85,123.31,22.1,466.06,-1,-1,9.77,206.1
720036,7,2003,6,Madhya Pradesh,Jabalpur,1.49,54.18,20.44,744.66,0.33,11.99,4.19,152.73
720076,7,2007,6,Madhya Pradesh,Jabalpur,1.3,47.52,21.58,787.08,-1,-1,4.47,162.95
819926,8,1992,6,Madhya Pradesh,Balaghat,2.68,97.31,3.34,121.33,0.05,1.74,0.35,12.68
819976,8,1997,6,Madhya Pradesh,Balaghat,1.6,58.6,4.24,155.15,-1,-1,0.6,21.85
820036,8,2003,6,Madhya Pradesh,Balaghat,3.09,111.99,13.15,477.27,0.06,2.07,1.1,39.97
820076,8,2007,6,Madhya Pradesh,Balaghat,3.91,143.32,10.22,374.76,-1,-1,3.68,134.85
919926,9,1992,6,Madhya Pradesh,Chhindwara,1.3,27.09,37.49,780.7,0.19,4.02,0.98,20.3
919976,9,1997,6,Madhya Pradesh,Chhindwara,0.79,15.89,71.7,1447.44,-1,-1,1.42,28.71
920036,9,2003,6,Madhya Pradesh,Chhindwara,1.71,35.43,68.3,1411.7,0.26,5.39,2.01,41.44
920076,9,2007,6,Madhya Pradesh,Chhindwara,0.93,19.18,91.31,1874.8,-1,-1,3.58,73.49
1019926,10,1992,6,Madhya Pradesh,Narsinghpur,2.15,73.48,14.64,499.59,0.94,32.08,2.27,77.61
1019976,10,1997,6,Madhya Pradesh,Narsinghpur,0,0,0,0,-1,-1,4.29,144.37
1020036,10,2003,6,Madhya Pradesh,Narsinghpur,1.31,43.51,34.22,1134.07,0.52,17.2,5.41,179.4
1020076,10,2007,6,Madhya Pradesh,Narsinghpur,0.64,21,42.1,1383.29,-1,-1,7.32,240.45
1119926,11,1992,6,Madhya Pradesh,Seoni,3.61,99.2,6.31,173.29,0.11,2.94,0.57,15.58
1119976,11,1997,6,Madhya Pradesh,Seoni,3.88,104.27,7.75,208.48,-1,-1,1.09,29.39
1120036,11,2003,6,Madhya Pradesh,Seoni,6.17,167.8,24.68,671.09,0.1,2.66,1.86,50.66
1120076,11,2007,6,Madhya Pradesh,Seoni,4.9,131.62,18.6,499.57,-1,-1,3.13,84.06
1219926,12,1992,6,Madhya Pradesh,Mandla,1.24,29.15,1,23.62,0,0,0.16,3.86
1219976,12,1997,6,Madhya Pradesh,Mandla,1.31,30.02,0.62,14.3,-1,-1,0.37,8.56
1220036,12,2003,6,Madhya Pradesh,Mandla,1.09,49.7,1.91,87.67,0.02,1.1,0.58,26.38
1220076,12,2007,6,Madhya Pradesh,Mandla,1.04,48.18,1.46,67.7,-1,-1,0.84,39.12
1319926,13,1992,6,Madhya Pradesh,Sagar,10.19,196.34,13.87,267.23,0.47,9,4.35,83.82
1319976,13,1997,6,Madhya Pradesh,Sagar,11.76,221.92,30.24,570.48,-1,-1,6.53,123.2
1320036,13,2003,6,Madhya Pradesh,Sagar,21.75,407.36,42.93,803.99,0.21,3.91,10.78,201.91
1320076,13,2007,6,Madhya Pradesh,Sagar,25.39,470.39,49.55,918.21,-1,-1,13.55,251.1
1419926,14,1992,6,Madhya Pradesh,Damoh,3.72,129.31,6.59,229.45,0.55,19.07,0.94,32.68
1419976,14,1997,6,Madhya Pradesh,Damoh,7.39,246.16,12.9,429.62,-1,-1,1.84,61.32
1420036,14,2003,6,Madhya Pradesh,Damoh,5.73,185.48,12.64,408.99,0.06,2.04,3.33,107.73
