Key,Dist Code,Year,State Code,State Name,Dist Name,TOTAL AREA (1000 ha),FOREST AREA (1000 ha),BARREN AND UNCULTIVABLE LAND AREA (1000 ha),LAND PUT TO NONAGRICULTURAL USE AREA (1000 ha),CULTIVABLE WASTE LAND AREA (1000 ha),PERMANENT PASTURES AREA (1000 ha),OTHER FALLOW AREA (1000 ha),CURRENT FALLOW AREA (1000 ha),NET CROPPED AREA (1000 ha),GROSS CROPPED AREA (1000 ha),CROPING INTENSITY (Percent)
1199014,1,1990,14,Chhattisgarh,Durg,795.34,24.75,22.64,72.25,23.22,63.73,22.83,22.58,543.1,758,139.6
1199114,1,1991,14,Chhattisgarh,Durg,870.3,99.8,7.1,85,24.2,66.6,22.6,19.5,545.3,758.4,139.1
1199214,1,1992,14,Chhattisgarh,Durg,870.2,100.7,6.9,87.7,24.2,63.4,22.3,18.1,546.9,760.5,139.1
1199314,1,1993,14,Chhattisgarh,Durg,795.27,24.74,6.85,87.88,23.9,64.64,20.9,16.4,549.8,796.3,144.8
1199414,1,1994,14,Chhattisgarh,Durg,795.29,24.62,11.31,86.16,23.99,62.03,20.49,15.31,551.04,818.31,148.5
1199514,1,1995,14,Chhattisgarh,Durg,870.18,24.92,10.16,85.05,25.81,64.52,18.53,13.2,552.95,817.47,147.8
1199614,1,1996,14,Chhattisgarh,Durg,795.27,24.78,10.16,85.39,22.89,64.27,18.11,13.05,556.48,804,144.5
1199714,1,1997,14,Chhattisgarh,Durg,795.27,24.64,10.16,86.97,23.16,63.12,17.84,13.94,555.3,793.6,142.9
1199814,1,1998,14,Chhattisgarh,Durg,870.18,99.55,10.17,87.52,24.15,62.69,19.15,18.62,548.19,730.85,133.3
1199914,1,1999,14,Chhattisgarh,Durg,870.18,99.55,10.16,88.43,23.15,61.77,18.87,15.69,552.46,792.71,143.5
1200014,1,2000,14,Chhattisgarh,Durg,870.18,99.66,10.1,89.31,23.73,61.11,20.18,27.44,538.54,634.32,117.8
1200114,1,2001,14,Chhattisgarh,Durg,870.18,99.69,10.09,89.12,24.64,61.49,21.58,17.26,546.2,740.74,135.6
1200214,1,2002,14,Chhattisgarh,Durg,870.18,99.61,87.65,10.71,25.35,61.73,20.68,19.35,544.7,693.9,127.4
1200314,1,2003,14,Chhattisgarh,Durg,870.18,99.6,9.8,89.69,25.01,61.81,19.75,15.26,549.05,765.16,139.4
1200414,1,2004,14,Chhattisgarh,Durg,870.18,99.6,9.84,89.79,24.94,61.9,19.39,13.59,550.95,800.7,145.3
1200514,1,2005,14,Chhattisgarh,Durg,870.18,99.6,10.06,89.83,25.31,61.78,18.42,12.52,552.49,809.87,146.6
1200614,1,2006,14,Chhattisgarh,Durg,870.18,99.6,9.89,89.91,24.59,62.47,18.21,13.08,552.29,810.94,146.8
1200714,1,2007,14,Chhattisgarh,Durg,870.18,99.6,9.85,90.29,26.47,62.51,18.47,12.03,550.82,819.19,148.7
1200814,1,2008,14,Chhattisgarh,Durg,870.18,99.6,9.63,90.77,25.96,62.72,18.95,14.08,548.32,774.61,141.3
1200914,1,2009,14,Chhattisgarh,Durg,870.18,99.8,9.81,90.61,26.74,62.32,20.08,14.79,545.75,754.22,138.2
1201014,1,2010,14,Chhattisgarh,Durg,870.18,99.82,9.78,91,27.09,62.01,19.8,13.41,546.96,786.24,143.7
1201114,1,2011,14,Chhattisgarh,Durg,232,0,4.85,35.34,11.92,18.6,8.81,5.38,146.85,192.21,130.9
1201214,1,2012,14,Chhattisgarh,Durg,232,0,4.43,35.83,12.14,19.13,8.89,4.43,147.02,196.51,133.7
1201314,1,2013,14,Chhattisgarh,Durg,232,0,4.43,35.9,12.51,19.08,8.3,4.67,146.98,193.32,131.5
1201414,1,2014,14,Chhattisgarh,Durg,232,0,4.43,35.87,12.78,19.09,8.6,3.91,147.15,190.44,129.4
1201514,1,2015,14,Chhattisgarh,Durg,232,0,4.81,35.85,11.74,19.02,8.18,3.98,148.32,189.72,127.9
1201614,1,2016,14,Chhattisgarh,Durg,232,-1,4.81,35.55,12.94,19.02,8.94,4.63,146.04,186.59,127.8
