"Dist Code","Year","State Code","State Name","Dist Name","LENGTH OF GROWING PERIOD DAYS (Number)"
"1","Not Applicable","14","Chhattisgarh","Durg","164"
"2","Not Applicable","14","Chhattisgarh","Bastar","194"
"3","Not Applicable","14","Chhattisgarh","Raipur","201"
"4","Not Applicable","14","Chhattisgarh","Bilaspur","208"
"5","Not Applicable","14","Chhattisgarh","Raigarh","201"
"6","Not Applicable","14","Chhattisgarh","Surguja","201"
"7","Not Applicable","6","Madhya Pradesh","Jabalpur","254"
"8","Not Applicable","6","Madhya Pradesh","Balaghat","201"
"9","Not Applicable","6","Madhya Pradesh","Chhindwara","231"
"10","Not Applicable","6","Madhya Pradesh","Narsinghpur","245"
"11","Not Applicable","6","Madhya Pradesh","Seoni","240"
"12","Not Applicable","6","Madhya Pradesh","Mandla","194"
"13","Not Applicable","6","Madhya Pradesh","Sagar","194"
"14","Not Applicable","6","Madhya Pradesh","Damoh","201"
"15","Not Applicable","6","Madhya Pradesh","Tikamgarh","178"
"16","Not Applicable","6","Madhya Pradesh","Chhatarpur","194"
"17","Not Applicable","6","Madhya Pradesh","Panna","280"
"18","Not Applicable","6","Madhya Pradesh","Rewa","178"
"19","Not Applicable","6","Madhya Pradesh","Sidhi","200"
"20","Not Applicable","6","Madhya Pradesh","Satna","194"
"21","Not Applicable","6","Madhya Pradesh","Shahdol","201"
"22","Not Applicable","6","Madhya Pradesh","Gwalior","217"
"23","Not Applicable","6","Madhya Pradesh","Shivpuri","210"
"24","Not Applicable","6","Madhya Pradesh","Guna","224"
"25","Not Applicable","6","Madhya Pradesh","Datia","210"
"26","Not Applicable","6","Madhya Pradesh","Morena","210"
"27","Not Applicable","6","Madhya Pradesh","Bhind","217"
"28","Not Applicable","6","Madhya Pradesh","Indore","194"
"29","Not Applicable","6","Madhya Pradesh","Ratlam","194"
"30","Not Applicable","6","Madhya Pradesh","Ujjain","194"
"31","Not Applicable","6","Madhya Pradesh","Mandsaur","190"
"32","Not Applicable","6","Madhya Pradesh","Dewas","210"
"33","Not Applicable","6","Madhya Pradesh","Dhar","178"
"34","Not Applicable","6","Madhya Pradesh","Jhabua","170"
"35","Not Applicable","6","Madhya Pradesh","Khargone","195"
"36","Not Applicable","6","Madhya Pradesh","Khandwa","201"
"37","Not Applicable","6","Madhya Pradesh","Sehore","210"
"38","Not Applicable","6","Madhya Pradesh","Raisen","224"
"39","Not Applicable","6","Madhya Pradesh","Vidisha","220"
"40","Not Applicable","6","Madhya Pradesh","Betul","229"
"41","Not Applicable","6","Madhya Pradesh","Rajgarh","201"
"42","Not Applicable","6","Madhya Pradesh","Shajapur","210"
"43","Not Applicable","6","Madhya Pradesh","Hoshangabad","224"
"44","Not Applicable","1","Andhra Pradesh","Srikakulam","185"
"45","Not Applicable","1","Andhra Pradesh","Visakhapatnam","171"
"46","Not Applicable","1","Andhra Pradesh","East Godavari","229"
"47","Not Applicable","1","Andhra Pradesh","West Godavari","210"
"48","Not Applicable","1","Andhra Pradesh","Krishna","185"
"49","Not Applicable","1","Andhra Pradesh","Guntur","164"
"50","Not Applicable","1","Andhra Pradesh","S.P.S.Nellore","134"
"51","Not Applicable","1","Andhra Pradesh","Kurnool","148"
"52","Not Applicable","1","Andhra Pradesh","Anantapur","120"
"53","Not Applicable","1","Andhra Pradesh","Kadapa YSR","165"
"54","Not Applicable","1","Andhra Pradesh","Chittoor","164"
"55","Not Applicable","20","Telangana","Hyderabad","150"
"56","Not Applicable","20","Telangana","Nizamabad","141"
"57","Not Applicable","20","Telangana","Medak","165"
"58","Not Applicable","20","Telangana","Mahabubnagar","141"
"59","Not Applicable","20","Telangana","Nalgonda","175"
"60","Not Applicable","20","Telangana","Warangal","201"
"61","Not Applicable","20","Telangana","Khammam","185"
"62","Not Applicable","20","Telangana","Karimnagar","182"
"63","Not Applicable","20","Telangana","Adilabad","178"
"65","Not Applicable","5","Karnataka","Kolar","120"
"66","Not Applicable","5","Karnataka","Tumkur","189"
"67","Not Applicable","5","Karnataka","Mysore","248"
"68","Not Applicable","5","Karnataka","Mandya","230"
"69","Not Applicable","5","Karnataka","Hassan","231"
"70","Not Applicable","5","Karnataka","Shimoge","207"
"71","Not Applicable","5","Karnataka","Chickmagalur","220"
"72","Not Applicable","5","Karnataka","Chitradurga","134"
"73","Not Applicable","5","Karnataka","Bellary","104"
"74","Not Applicable","5","Karnataka","Dharwad","118"
"75","Not Applicable","5","Karnataka","Belgaum","178"
"76","Not Applicable","5","Karnataka","Bijapur","97"
"77","Not Applicable","5","Karnataka","Bidar","171"
