Key,Row Labels,Sum of  Potato Area (000Ha),Sum of  Potato Production (000t),Sum of  Sweet Potato Area (000Ha),Sum of  Sweet Potato Production (000t),Sum of  Onion Area (000Ha),Sum of  Onion Production (000t),Count of  Green onion Area (000Ha),Count of  Green onion Production (000t),Sum of  Tomato Area (000Ha),Sum of  Tomato Production (000t),Sum of  Ladys finger Area (000Ha),Sum of  Ladys finger Production (000t),Sum of  Brinjal Area (000Ha),Sum of  Brinjal Production (000t),Sum of  Cauliflower Area (000Ha),Sum of  Cauliflower Production (000t),Sum of  Cabbage Area (000Ha),Sum of  Cabbage Production (000t),Sum of  Knol Khol Area (000Ha),Sum of  Knol Khol Production (000t),Sum of  Pumpkin Area (000Ha),Sum of  Pumpkin Production (000t),Sum of  Mushroom Area (000Ha),Sum of  Mushroom Production (000t),Sum of  Drum Stick Area (000Ha),Sum of  Drum Stick Production (000t),Sum of  Ridge Gourd Area (000Ha),Sum of  Ridge Gourd Production (000t),Sum of  Ghosali Area (000Ha),Sum of  Ghosali Production (000t),Sum of  Sponge Gourd Area (000Ha),Sum of  Sponge Gourd Production (000t),Sum of  Bottle Gourd Area (000Ha),Sum of  Bottle Gourd Production (000t),Sum of  Bitter Gourd Area (000Ha),Sum of  Bitter Gourd Production (000t),Sum of  Snake gourd Area (000Ha),Sum of  Snake gourd Production (000t),Sum of  Tinda Area (000Ha),Sum of  Tinda Production (000t),Sum of  Kundru/Perwal Area (000Ha),Sum of  Kundru/Perwal Production (000t),Sum of  Cucurbits Area (000Ha),Sum of  Cucurbits Production (000t),Sum of  Pointed gourd Area (000Ha),Sum of  Pointed gourd Production (000t),Sum of  Ashgourd Area (000Ha),Sum of  Ashgourd Production (000t),Sum of  Little Gourd Area (000Ha),Sum of  Little Gourd Production (000t),Sum of Gourds &  Coccinia Area (000Ha),Sum of Gourds &  Coccinia Production (000t),Sum of Other Gourd Varieties Area (000Ha),Sum of Other Gourd Varieties Production (000t),Sum of  Gourds Area (000Ha),Sum of  Gourds Production (000t),Sum of  Cowpea Area (000Ha),Sum of  Cowpea Production (000t),Sum of  Green Peas Area (000Ha),Sum of  Green Peas Production (000t),Sum of  Peas Area (000Ha),Sum of  Peas Production (000t),Sum of  Cluster beans Area (000Ha),Sum of  Cluster beans Production (000t),Sum of  Beans Area (000Ha),Sum of  Beans Production (000t),Sum of  French Bean Area (000Ha),Sum of  French Bean Production (000t),Sum of Beans (All Inc Lab-lab(Sem) Area (000Ha),Sum of Beans (All Inc Lab-lab(Sem) Production (000t),Sum of  Lab Lab Area (000Ha),Sum of  Lab Lab Production (000t),Sum of  Avarai Area (000Ha),Sum of  Avarai Production (000t),Sum of  Karamani Area (000Ha),Sum of  Karamani Production (000t),Sum of  Mogri Area (000Ha),Sum of  Mogri Production (000t),Sum of  Kakri Area (000Ha),Sum of  Kakri Production (000t),Sum of  Kheera Area (000Ha),Sum of  Kheera Production (000t),Sum of  Gherkins Area (000Ha),Sum of  Gherkins Production (000t),Sum of Long melon (Kakri) Area (000Ha),Sum of Long melon (Kakri) Production (000t),Sum of  Kachari Area (000Ha),Sum of  Kachari Production (000t),Sum of  Cucumber Area (000Ha),Sum of  Cucumber Production (000t),Sum of  Leafy Veg. Area (000Ha),Sum of  Leafy Veg. Production (000t),Sum of  Spinach (Palak) Area (000Ha),Sum of  Spinach (Palak) Production (000t),Sum of  Math/Rajgira Area (000Ha),Sum of  Math/Rajgira Production (000t),Sum of  Methi Area (000Ha),Sum of  Methi Production (000t),Sum of  Amaranthus Area (000Ha),Sum of  Amaranthus Production (000t),Sum of  Jimikand Area (000Ha),Sum of  Jimikand Production (000t),Sum of  Yam Area (000Ha),Sum of  Yam Production (000t),Sum of  Elephant Yam Area (000Ha),Sum of  Elephant Yam Production (000t),Sum of  Ratalu Area (000Ha),Sum of  Ratalu Production (000t),Sum of  Tapioca Area (000Ha),Sum of  Tapioca Production (000t),Sum of  Amorphospholus Area (000Ha),Sum of  Amorphospholus Production (000t),Sum of  Mooli Area (000Ha),Sum of  Mooli Production (000t),Sum of  Colocasia Area (000Ha),Sum of  Colocasia Production (000t),Sum of  Arbi Area (000Ha),Sum of  Arbi Production (000t),Sum of  Turnip Area (000Ha),Sum of  Turnip Production (000t),Sum of  Radish Area (000Ha),Sum of  Radish Production (000t),Sum of  Carrot Production (000t),Sum of  Carrot Area (000Ha),"Sum of Radish, Turnip & Carrot Area (000Ha)","Sum of Radish, Turnip & Carrot Production (000t)","Sum of   Root 
crops Area (000Ha)","Sum of   Root 
crops Production (000t)",Sum of Other Root crops Area (000Ha),Sum of Other Root crops Production (000t),Sum of  Beetroot Area (000Ha),Sum of  Beetroot Production (000t),Sum of  Wall (pawata) Area (000Ha),Sum of  Wall (pawata) Production (000t),Sum of  Wal Area (000Ha),Sum of  Wal Production (000t),Sum of  Vine Crops Area (000Ha),Sum of  Vine Crops Production (000t),Sum of  Oal Area (000Ha),Sum of  Oal Production (000t),Sum of  Green Chillies Area (000Ha),Sum of  Green Chillies Production (000t),Sum of Capsicum &  Chillies Area (000Ha),Sum of Capsicum &  Chillies Production (000t),Sum of  Capsicum Area (000Ha),Sum of  Capsicum Production (000t),Count of  Shimla Mirchi Area (000Ha),Count of  Shimla Mirchi Production (000t),Sum of  Water Melon Area (000Ha),Sum of  Water Melon Production (000t),Sum of  Musk Melon Area (000Ha),Sum of  Musk Melon Production (000t),Sum of  Turmeric Area (000Ha),Sum of  Turmeric Production (000t),Sum of  Garlic Area (000Ha),Sum of  Garlic Production (000t),Sum of  Curry leaves Area (000Ha),Sum of  Curry leaves Production (000t),Sum of  Mint Area (000Ha),Sum of  Mint Production (000t),Sum of Green Coriander Area (000Ha),Sum of Green Coriander Production (000t),Sum of Other Vegetables Area (000Ha),Sum of Other Vegetables Production (000t),Sum of Total  Vegetables Area (000Ha),Sum of Total  Vegetables Production (000t)
Andhra Pradesh,Andhra Pradesh,55.04,1078.11,6.02,117.4,473.25,8317.09,,,1511.14,31504.57,445.81,6574.07,430.01,8710.83,9.13,149.62,102.3,1547.46,,,0.56,12.11,,,,,,,,,,,43.49,555.63,13.37,179.9,,,,,3.45,83.66,,,,,,,,,25.84,387.29,,,42.79,641.48,,,,,12.02,154.73,,,181.44,2099.54,,,,,,,,,,,,,,,,,,,,,,,84.83,1686.54,33.29,332.07,,,,,,,,,,,,,6.91,389.16,,,121.03,2283.41,,,,,,,,,,,1.5,21.96,886.97,61.24,,,,,,,,,,,,,,,,,30.43,572.58,,,0.22,3.63,,,,,,,,,,,,,,,,,377.33,4901.28,4071.53,73190.08
Andhra Pradesh1997,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh1998,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh1999,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh2000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh2001,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh2002,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh2003,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh2004,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh2005,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh2006,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh2007,2007,6.64,132.74,0.7,13.94,35.65,605.97,,,74.14,1408.09,29.33,439.77,26.58,531.28,,,8.95,134.33,,,,,,,,,,,,,,,1.5,19.29,,,,,,,,,,,,,,,,,,,,,20.05,300.67,,,,,0.11,3.96,,,26.17,313.75,,,,,,,,,,,,,,,,,,,,,,,7.37,147.28,12.2,121.73,,,,,,,,,,,,,,,,,17.88,357.54,,,,,,,,,,,,,88.92,4.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.95,323.24,298.93,4942.29
Andhra Pradesh2008,2008,7.07,141.24,1.11,22.2,38.66,656.69,,,74.38,1487,32.01,480.05,28.06,560.82,,,11.27,169.22,,,,,,,,,,,,,,,1.5,17.96,,,,,,,,,,,,,,,,,,,,,22.74,340.81,,,,,0.68,23.95,,,28.57,342.7,,,,,,,,,,,,,,,,,,,,,,,7.89,157.64,12.3,122.73,,,,,,,,,,,,,,,,,17.84,356.62,,,,,,,,,,,,,101.3,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.38,253.48,314.8,5234.28
