Row Labels,Sum of  Potato Area (000Ha),Sum of  Potato Production (000t),Sum of  Sweet Potato Area (000Ha),Sum of  Sweet Potato Production (000t),Sum of  Onion Area (000Ha),Sum of  Onion Production (000t),Count of  Green onion Area (000Ha),Count of  Green onion Production (000t),Sum of  Tomato Area (000Ha),Sum of  Tomato Production (000t),Sum of  Ladys finger Area (000Ha),Sum of  Ladys finger Production (000t),Sum of  Brinjal Area (000Ha),Sum of  Brinjal Production (000t),Sum of  Cauliflower Area (000Ha),Sum of  Cauliflower Production (000t),Sum of  Cabbage Area (000Ha),Sum of  Cabbage Production (000t),Sum of  Knol Khol Area (000Ha),Sum of  Knol Khol Production (000t),Sum of  Pumpkin Area (000Ha),Sum of  Pumpkin Production (000t),Sum of  Mushroom Area (000Ha),Sum of  Mushroom Production (000t),Sum of  Drum Stick Area (000Ha),Sum of  Drum Stick Production (000t),Sum of  Ridge Gourd Area (000Ha),Sum of  Ridge Gourd Production (000t),Sum of  Ghosali Area (000Ha),Sum of  Ghosali Production (000t),Sum of  Sponge Gourd Area (000Ha),Sum of  Sponge Gourd Production (000t),Sum of  Bottle Gourd Area (000Ha),Sum of  Bottle Gourd Production (000t),Sum of  Bitter Gourd Area (000Ha),Sum of  Bitter Gourd Production (000t),Sum of  Snake gourd Area (000Ha),Sum of  Snake gourd Production (000t),Sum of  Tinda Area (000Ha),Sum of  Tinda Production (000t),Sum of  Kundru/Perwal Area (000Ha),Sum of  Kundru/Perwal Production (000t),Sum of  Cucurbits Area (000Ha),Sum of  Cucurbits Production (000t),Sum of  Pointed gourd Area (000Ha),Sum of  Pointed gourd Production (000t),Sum of  Ashgourd Area (000Ha),Sum of  Ashgourd Production (000t),Sum of  Little Gourd Area (000Ha),Sum of  Little Gourd Production (000t),Sum of Gourds &  Coccinia Area (000Ha),Sum of Gourds &  Coccinia Production (000t),Sum of Other Gourd Varieties Area (000Ha),Sum of Other Gourd Varieties Production (000t),Sum of  Gourds Area (000Ha),Sum of  Gourds Production (000t),Sum of  Cowpea Area (000Ha),Sum of  Cowpea Production (000t),Sum of  Green Peas Area (000Ha),Sum of  Green Peas Production (000t),Sum of  Peas Area (000Ha),Sum of  Peas Production (000t),Sum of  Cluster beans Area (000Ha),Sum of  Cluster beans Production (000t),Sum of  Beans Area (000Ha),Sum of  Beans Production (000t),Sum of  French Bean Area (000Ha),Sum of  French Bean Production (000t),Sum of Beans (All Inc Lab-lab(Sem) Area (000Ha),Sum of Beans (All Inc Lab-lab(Sem) Production (000t),Sum of  Lab Lab Area (000Ha),Sum of  Lab Lab Production (000t),Sum of  Avarai Area (000Ha),Sum of  Avarai Production (000t),Sum of  Karamani Area (000Ha),Sum of  Karamani Production (000t),Sum of  Mogri Area (000Ha),Sum of  Mogri Production (000t),Sum of  Kakri Area (000Ha),Sum of  Kakri Production (000t),Sum of  Kheera Area (000Ha),Sum of  Kheera Production (000t),Sum of  Gherkins Area (000Ha),Sum of  Gherkins Production (000t),Sum of Long melon (Kakri) Area (000Ha),Sum of Long melon (Kakri) Production (000t),Sum of  Kachari Area (000Ha),Sum of  Kachari Production (000t),Sum of  Cucumber Area (000Ha),Sum of  Cucumber Production (000t),Sum of  Leafy Veg. Area (000Ha),Sum of  Leafy Veg. Production (000t),Sum of  Spinach (Palak) Area (000Ha),Sum of  Spinach (Palak) Production (000t),Sum of  Math/Rajgira Area (000Ha),Sum of  Math/Rajgira Production (000t),Sum of  Methi Area (000Ha),Sum of  Methi Production (000t),Sum of  Amaranthus Area (000Ha),Sum of  Amaranthus Production (000t),Sum of  Jimikand Area (000Ha),Sum of  Jimikand Production (000t),Sum of  Yam Area (000Ha),Sum of  Elephant Yam Area (000Ha),Sum of  Yam Production (000t),Sum of  Elephant Yam Production (000t),Sum of  Ratalu Area (000Ha),Sum of  Ratalu Production (000t),Sum of  Tapioca Area (000Ha),Sum of  Tapioca Production (000t),Sum of  Amorphospholus Area (000Ha),Sum of  Amorphospholus Production (000t),Sum of  Mooli Area (000Ha),Sum of  Mooli Production (000t),Sum of  Colocasia Area (000Ha),Sum of  Colocasia Production (000t),Sum of  Arbi Area (000Ha),Sum of  Arbi Production (000t),Sum of  Turnip Area (000Ha),Sum of  Turnip Production (000t),Sum of  Radish Area (000Ha),Sum of  Radish Production (000t),Sum of  Carrot Area (000Ha),Sum of  Carrot Production (000t),"Sum of Radish, Turnip & Carrot Area (000Ha)","Sum of Radish, Turnip & Carrot Production (000t)","Sum of   Root 
crops Area (000Ha)","Sum of   Root 
crops Production (000t)",Sum of Other Root crops Area (000Ha),Sum of Other Root crops Production (000t),Sum of  Beetroot Area (000Ha),Sum of  Beetroot Production (000t),Sum of  Wall (pawata) Area (000Ha),Sum of  Wall (pawata) Production (000t),Sum of  Wal Area (000Ha),Sum of  Wal Production (000t),Sum of  Vine Crops Area (000Ha),Sum of  Vine Crops Production (000t),Sum of  Oal Area (000Ha),Sum of  Oal Production (000t),Sum of  Green Chillies Area (000Ha),Sum of  Green Chillies Production (000t),Sum of Capsicum &  Chillies Area (000Ha),Sum of Capsicum &  Chillies Production (000t),Sum of  Capsicum Area (000Ha),Sum of  Capsicum Production (000t),Count of  Shimla Mirchi Area (000Ha),Sum of  Water Melon Area (000Ha),Count of  Shimla Mirchi Production (000t),Sum of  Water Melon Production (000t),Sum of  Musk Melon Area (000Ha),Sum of  Musk Melon Production (000t),Sum of  Turmeric Area (000Ha),Sum of  Turmeric Production (000t),Sum of  Garlic Area (000Ha),Sum of  Garlic Production (000t),Sum of  Curry leaves Area (000Ha),Sum of  Curry leaves Production (000t),Sum of  Mint Area (000Ha),Sum of  Mint Production (000t),Sum of Green Coriander Area (000Ha),Sum of Green Coriander Production (000t),Sum of Other Vegetables Area (000Ha),Sum of Other Vegetables Production (000t),Sum of Total  Vegetables Area (000Ha),Sum of Total  Vegetables Production (000t)
1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,75.7,1475.12,1.55,20.22,36.94,432.15,,,37.73,487.94,7.63,52.5,12.83,111.73,3.69,86.7,3.35,112.98,,,1.04,23.73,,,4.66,231.95,0.55,6.56,,,,,0.11,1.71,1.14,13.55,0.67,10.23,,,,,,,,,0.33,6.05,,,,,,,,,,,2.08,33,13.47,60.76,,,2.6,23.33,,,,,1.98,25.78,,,0.06,0.19,,,,,,,,,,,,,0.65,4.53,,,,,,,,,,,,,1.74,,51.9,,,,104.81,4295.54,,,,,1.21,9.57,,,0.07,1.18,0.49,9.94,2.02,50.36,,,13.37,262.55,,,1.15,28.76,,,,,9.75,139.77,,,8.24,13.07,,,,,,0.16,,3.24,0.96,21.42,,,1.2,14.35,1.81,360,,,,,4.27,59.35,359.67,8541.41
2001,156.13,2135.18,9.44,47.55,42.94,443.8,,,34.39,433.89,7.82,64.43,12.46,118.2,4.13,93.92,3.45,124.98,,,0.96,21.97,,,5.11,254.85,0.37,4.29,,,,,0.13,1.72,1.01,12.23,0.82,12.19,,,,,,,,,0.64,11.78,,,,,,,,,,,2.25,35.57,14.4,86.3,,,3.14,28.34,,,,,2.12,27.2,,,0.41,1.22,,,,,,,,,,,,,0.67,4.66,,,,,,,,,,,,,1.36,,41.07,,,,111,4167.15,,,,,1.2,9.58,,,0.06,1.22,1.03,20.52,2.14,53.33,,,13.49,259.49,,,1.03,25.61,,,,,9.85,130.19,,,23.84,24.04,,,,,,0.22,,4.58,0.99,19.26,,,1.24,23.43,1.94,387,,,,,99.46,62.93,571.22,9193.19
2002,151.1,2090.32,9.07,39.62,65.72,663.32,,,33.3,500.62,9.3,87.01,12.09,117.39,6.37,138.62,7.33,229.23,,,0.88,20.45,,,5.52,274.75,0.36,4.51,,,,,0.1,1.4,1,11.83,0.72,10.6,,,,,,,,,0.73,13.4,,,,,,,,,,,1.94,30.3,26.86,142.69,,,2.6,39.1,2.37,23.66,,,1.48,19.05,,,0.46,1.38,,,,,,,,,,,,,0.72,5.07,,,,,,,,,,,,,0.92,,27.3,,,,70.84,2160.09,,,,,0.86,8.57,,,0.06,1.24,3.46,47.05,2.34,35.02,,,13.59,248,,,0.94,23.15,,,,,9.96,143.14,,,23.89,24.14,,,1.43,14.26,,0.22,,4.5,0.99,19.06,,,1.21,18.13,2.15,433.2,,,,,11.32,120.89,484.04,7791.74
2003,167.13,2217.39,56.3,437.02,66.53,665.54,,,146.22,2087.68,84.28,814.75,153.3,2166.7,68.27,1033.78,40.13,1103.19,,,0.98,22.21,,,6.18,307.7,0.34,4.05,,,,,0.11,1.5,0.94,11.35,0.83,12.25,,,,,,,,,0.89,16.21,,,,,,,,,,,1.79,28.51,26.13,271.9,,,2.71,40.19,2.99,26.76,,,3.4,44.22,,,0.29,0.88,,,,,,,,,,,,,0.59,4.13,,,,,,,,,,,,,0.85,,25.95,,,,95.02,3201.43,,,,,0.93,9.29,,,0.07,1.48,3.36,42.03,1.97,29.56,,,13.94,278.91,,,0.64,16.21,,,,,10.24,147.64,,,9.16,14.65,,,1.4,10.16,,0.27,,5.32,1,19.26,,,1.25,15.24,2.51,499.4,,,,,197.08,1928.08,1169.52,17561.79
2004,231.44,2786.52,59.34,470.95,210.82,1713.97,,,216.59,3610.79,100.79,929.61,178.38,2616.32,76.49,1128.84,46.26,1211.16,0.91,9.61,6.64,84.68,0,0,6.56,327.4,1.06,11.28,,,0.33,3.44,2.8,28.18,2.65,28.29,0.65,9.49,0.27,2.56,0.5,5.02,,,,,0.94,16.54,,,,,,,,,4.19,43.69,8.9,96.44,27.7,179.79,1.27,12.71,12.38,148.57,4.51,33.76,,,2,26.09,,,0.61,1.84,,,0.18,1.56,0.24,2.14,,,,,,,0.72,5.06,,,,,,,,,,,,,0.86,,25.71,,,,110.59,4563.77,,,,,4.02,42.59,,,,,3.07,59,2.76,41.29,,,14.79,295.09,,,,,,,,,10.76,154.89,,,9.6,15.43,,,2.02,7.74,,,,,,,,,4.31,15.8,2.77,550,,,,,231.88,2223.52,1602.74,23540.42
2005,298.01,3920.2,58.91,487.92,314.3,5310.09,,,254.93,4500.9,149.69,1345.46,248.87,3736.1,96.13,1468.29,68.53,1583.08,1.14,18.51,8.56,135.47,,,6.86,306.83,0.2,2.63,,,1.64,23.86,3.61,76.44,5.35,47.89,0.62,9.32,,,1.52,33.25,,,,,0.58,10.36,,,,,,,,,26.15,214.39,8.16,66.53,31.69,206.25,28.3,17.44,14.22,175.28,4.12,29.48,,,1.84,23.92,,,0.57,1.73,,,,,,,,,,,,,0.63,4.51,0.93,13.95,,,,,,,,,0.49,5.17,0.8,,24.21,,,,127.14,4857.45,,,,,1.3,13.2,4.15,48.69,,,5.2,69.77,4.26,63.11,,,15.23,304.06,,,1.29,32.3,,,,,11.08,159.43,,,9.88,15.9,,,1.91,10.61,,,,,,,,,1.36,16.43,0.2,0.39,,,,,285.6,2885.41,2105,32275.42
2006,317.36,4467.2,63.47,535.78,305.21,5026.95,,,327.72,5418.24,226.36,2132.49,396.65,6428.16,147.03,2836.8,147.62,3646.7,3.67,60.81,9.76,133.46,,,9.04,371.03,3.43,30.67,,,1.48,15.52,6.43,71.25,7.22,59.8,1.29,19.74,,,1.74,32.41,195.37,2253.8,,,1.62,35.61,0.7,19.4,,,0.68,8.79,,,26.6,207.78,9.48,63.71,55.15,356.14,32.09,226.34,16.76,188.53,4.57,32.84,,,1.16,15.16,,,0.64,1.93,,,,,,,0.89,15.85,,,,,6.29,93.48,9.15,67.11,2.71,26.22,,,2.85,26.99,2.5,38.17,0.7,5.27,1.09,,32.97,,,,141.06,5654.37,0.51,22.51,,,0.74,7.54,4.47,42.68,,,46.66,536.67,8.55,143.37,,,15.61,285.14,,,3.24,66.16,,,,,11.39,160.99,,,40.77,394.95,,,4.42,42.62,,0.58,,11.58,1.43,27.7,,,1.39,18.24,4.14,505.76,,,,,494.13,3917.54,3124.75,46839.6
